,Charge,NW.Counts,SF.Counts,Description,Chapter,Section,Expungeable.,tempID,Reason not expungeable,Statute,Questionable
95,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE c265s23A(a)",74,0,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 5 YEAR AGE DIFFERENCE",265,23A(a),No,95,1277 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),n
96,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE c265s23A(b)",21,0,"AGGRAVATED RAPE &  ABUSE OF A CHILD, 10 YEAR AGE DIFFERENCE",265,23A(b),No,96,1277 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),n
97,A&B ON +60/DISABLED  c265 §13K(a1/2),19,0,A&B ON +60/DISABLED ,265,13K(a1/2),No,97,1208 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(18),n
98,LARCENY FROM BUILDING c266 §20 - HABITUAL,2,0,LARCENY FROM BUILDING,266,20 - HABITUAL,yes,98,1332-1357 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
99,"STOLEN PROPERTY, REFUSE RETURN c266 §21",0,1,"STOLEN PROPERTY, REFUSE RETURN",266,21,yes,99,not in the list of non-expungable offenses.,,n
100,"POULTRY, B&E OR ENTER TO STEAL c266 §22",0,1,"POULTRY, B&E OR ENTER TO STEAL",266,22,yes,100,not in the list of non-expungable offenses.,,n
101,LARCENY FROM PERSON +65 c266 §25(a),14,50,LARCENY FROM PERSON +65,266,25(a),no,101,1358-1359 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(4),n
102,"LARCENY FROM PERSON +65, SUBSQ.OFF. c266 §25(a)",0,7,"LARCENY FROM PERSON +65, SUBSQ.OFF.",266,25(a),no,102,1358-1359 on Master Crime List offense with Expunge categories.xlsx from Sana,100Ja(4),n
103,LARCENY FROM PERSON c266 §25(b),97,710,LARCENY FROM PERSON,266,25(b),yes,103,1357 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
104,"MOTOR VEH TO DEFRAUD, REMOVE c266 §27A",0,5,"MOTOR VEH TO DEFRAUD, REMOVE",266,27A,yes,104,not in the list of non-expungable offenses.,,n
105,"LARCENY, ATTEMPTED c266 §30",0,11,"LARCENY, ATTEMPTED",266,30,yes,105,not in the list of non-expungable offenses.,,n
106,LARCENY OVER $250 c. 266 s. 30,0,4,LARCENY OVER $250,266,30,yes,106,1370 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
107,"FIREARM, LARCENY OF c. 266 s. 30",0,1,"FIREARM, LARCENY OF",266,30,yes,107,1369 on Master Crime List offense with Expunge categories.xlsx from Sana,,n
108,UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE c266 §30B,0,2,UNLAWFUL DEACTIVATION/REMOVAL THEFT PROTECTION DEVICE,266,30B,yes,108,not in the list of non-expungable offenses.,,n
109,Possession of a theft detection shielding device w/ intent to steal c266 §30B(b),1,0,POSSESSION OF A THEFT DETECTION SHIELDING DEVICE W/ INTENT TO STEAL,266,30B(b),yes,109,not in the list of non-expungable offenses.,,n
110,Distribution of a theft device deactivator c266 §30B(c),3,0,DISTRIBUTION OF A THEFT DEVICE DEACTIVATOR,266,30B(c),yes,110,not in the list of non-expungable offenses.,,n
111,Deactivation or removal of a theft detection w/ the intent to steal c266 §30B(e),26,0,DEACTIVATION OR REMOVAL OF A THEFT DETECTION W/ THE INTENT TO STEAL,266,30B(e),yes,111,not in the list of non-expungable offenses.,,n
112,"Forging retail receipt, prict ticket, or UPC label w/ intent to defraud c266 §30C",15,0,"FORGING RETAIL RECEIPT, PRICT TICKET, OR UPC LABEL W/ INTENT TO DEFRAUD",266,30C,yes,112,not in the list of non-expungable offenses.,,n
113,"LARCENY BY SINGLE SCHEME, ATTEMPTED c266 §30L",0,16,"LARCENY BY SINGLE SCHEME, ATTEMPTED",266,30L,yes,113,not in the list of non-expungable offenses.,,n
114,"Larceny over $250, Habitual Crim, c266,s30",1,0,"LARCENY OVER $250, HABITUAL CRIM,","266,",30,yes,114,not in the list of non-expungable offenses.,,n
115,"Shoplifting, c266,s30A",1,0,"SHOPLIFTING,","266,",30A,yes,115,not in the list of non-expungable offenses.,,n
116,"SIGNATURE, OBTAINING BY FALSE PRETENSE c266 §31",2,1,"SIGNATURE, OBTAINING BY FALSE PRETENSE",266,31,yes,116,not in the list of non-expungable offenses.,,n
117,"CREDIT CARD, FALSE STATEMENT TO OBTAIN c266 §37B(a)",5,18,"CREDIT CARD, FALSE STATEMENT TO OBTAIN",266,37B(a),yes,117,not in the list of non-expungable offenses.,,n
118,"CREDIT CARD, LARCENY OF c266 §37B(b)",95,106,"CREDIT CARD, LARCENY OF",266,37B(b),yes,118,not in the list of non-expungable offenses.,,n
119,"CREDIT CARD, RECEIVE STOLEN c266 §37B(b)",48,228,"CREDIT CARD, RECEIVE STOLEN",266,37B(b),yes,119,not in the list of non-expungable offenses.,,n
120,"CREDIT CARD, RECEIVE LOST c266 §37B(c)",7,23,"CREDIT CARD, RECEIVE LOST",266,37B(c),yes,120,not in the list of non-expungable offenses.,,n
121,"CREDIT CARD, NON-CARDHOLDER SIGN c266 §37B(e)",2,8,"CREDIT CARD, NON-CARDHOLDER SIGN",266,37B(e),yes,121,not in the list of non-expungable offenses.,,n
122,"CREDIT CARD, IMPROPER USE UNDER $250  c266 §37B(f)",129,0,"CREDIT CARD, IMPROPER USE UNDER $250 ",266,37B(f),yes,122,not in the list of non-expungable offenses.,,n
123,"CREDIT CARD, IMPROPER USE UNDER $1200  c266 §37B(f)",3,0,"CREDIT CARD, IMPROPER USE UNDER $1200 ",266,37B(f),yes,123,not in the list of non-expungable offenses.,,n
124,"CREDIT CARD, IMPROPER USE UNDER $250 c266 §37B(f)",0,99,"CREDIT CARD, IMPROPER USE UNDER $250",266,37B(f),yes,124,not in the list of non-expungable offenses.,,n
125,"CREDIT CARD, IMPROPER USE UNDER $1200 c266 §37B(f)",0,4,"CREDIT CARD, IMPROPER USE UNDER $1200",266,37B(f),yes,125,not in the list of non-expungable offenses.,,n
126,CREDIT CARD FRAUD UNDER $250 c266 §37B(g),29,403,CREDIT CARD FRAUD UNDER $250,266,37B(g),yes,126,not in the list of non-expungable offenses.,,n
127,CREDIT CARD FRAUD UNDER $1200 c266 §37B(g),9,12,CREDIT CARD FRAUD UNDER $1200,266,37B(g),yes,127,not in the list of non-expungable offenses.,,n
128,"CREDIT CARD, ALLOW IMPROP USE UNDER $250 c266 §37B(h)",0,11,"CREDIT CARD, ALLOW IMPROP USE UNDER $250",266,37B(h),yes,128,not in the list of non-expungable offenses.,,n
129,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200 c266 §37B(h)",0,2,"CREDIT CARD, ALLOW IMPROP USE UNDER $1200",266,37B(h),yes,129,not in the list of non-expungable offenses.,,n
130,CREDIT CARD FRAUD UNDER $250 BY MERCHANT c266 §37B(i),0,4,CREDIT CARD FRAUD UNDER $250 BY MERCHANT,266,37B(i),yes,130,not in the list of non-expungable offenses.,,n
131,CREDIT CARD FRAUD UNDER $1200 BY MERCHANT c266 §37B(i),0,1,CREDIT CARD FRAUD UNDER $1200 BY MERCHANT,266,37B(i),yes,131,not in the list of non-expungable offenses.,,n
132,"CREDIT CARD, RECEIVE IMPROP UNDER $250 c266 §37B(j)",2,18,"CREDIT CARD, RECEIVE IMPROP UNDER $250",266,37B(j),yes,132,not in the list of non-expungable offenses.,,n
