Charges,NW Counts,SF Counts
BOMB/HIJACK THREAT WITH SERIOUS PUBLIC ALARM c269 §14(c),0,25
"BOOKS, FALSIFY/OMIT ENTRY IN c266 §67",1,27
BOSTON MUNIC CT CLERK FAIL PAY ACCOUNTS c218 §56,0,1
"BRAKES VIOLATION, MV * c90 §7",14,158
BREAK INTO DEPOSITORY c266 §16,43,53
"BREAK INTO DEPOSITORY, ATTEMPT TO c266 §16",7,12
BREAKDOWN LANE VIOLATION * c89 §4B,15,19
"BRIDGE, INJURE c266 §107",0,1
"BUILDING, VANDALIZE c266 §104",4,6
"BUILDING, VANDALIZE c266 §94",0,1
"BURGLARIOUS INSTRUMENT, MAKE c266 §49",1,12
"BURGLARIOUS INSTRUMENT, POSSESS c266 §49",90,903
"BURGLARY, ARMED & ASSAULT c266 §14",3,10
"BURGLARY, ARMED c266 §14",10,29
"BURGLARY, ARMED, SUBSQ.OFF. c266 §14",0,3
"BURGLARY, FIREARM-ARMED c266 §14",0,1
"BURGLARY, UNARMED & ASSAULT c266 §14",6,35
"BURGLARY, UNARMED c266 §15",66,258
"BURGLARY, UNARMED, SUBSQ.OFF. c266 §15",0,1
BURN BUILDING CONTENTS c266 §2,4,1
BURN BUILDING TO DEFRAUD INSURER c266 §10,0,4
"BURN BUILDING TO DEFRAUD INSURER, ATT c266 §10",0,1
BURN BUILDING c266 §2,13,12
"BURN BUILDING, ATTEMPT TO c266 §5A",4,7
BURN LAND/TREE/LUMBER/PRODUCE c266 §5,2,2
BURN MOTOR VEHICLE c266 §5,4,4
"BURN MOTOR VEHICLE, ATTEMPT TO c266 §5A",1,1
BURN MV TO DEFRAUD INSURER c266 §10,0,1
BURN PERSONAL PROPERTY c266 §5,19,0
"BURN PERSONALTY TO DEFRAUD INSURER, ATT c266 §10",0,1
BURN PERSONALTY c266 §5,0,27
BURN PUBLIC BUILDING c266 §2,4,2
BURN WOODS c266 §7,7,0
"BUS DRIVER, ASSAULT c159 §104",0,2
"BUS DRIVER, INTERFERE WITH c159A §31",0,38
"BUS, THROW MISSILE AT c159 §104",0,2
Bomb/Hijack Threat w/ serious Public Alarm (School),3,0
"CABLE TV SERVICE BY FRAUD -$5000, OBTAIN c166 §42A",0,2
CARJACKING c265 §21A,0,81
"CARJACKING, ARMED c265 §21A",2,37
"CARJACKING, FIREARM-ARMED c265 §21A",0,11
"CEMETERY, VANDALIZE c272 §74",1,0
"CHEMICAL MACE WITHOUT FID CARD, POSSESS",0,2
"CHEMICAL MACE WITHOUT FID CARD, POSSESS c269 §10",0,26
CHILD 5-12 WITHOUT SEAT BELT * c90 §7AA,7,53
CHILD 8-12 OR OVER 57 INCHES WITHOUT SEAT BELT,6,0
"CHILD ABUSE, FRIVOLOUS REPORT OF c119 §51A",1,0
"CHILD ABUSE, MANDATED REPORTER FL REPORT c119 §51A",1,0
CHILD ENDANGERMENT WHILE OUI,44,0
"CHILD IN NUDE, DISTRIB MATERIAL OF c272 §29B(a)",37,79
"CHILD IN NUDE, LASCIVIOUS POSE/EXHIBIT c272 §29A(a)",33,64
"CHILD IN SEXUAL ACT, DISTRIB MATERIAL OF c272 §29B(b)",9,17
"CHILD IN SEXUAL ACT, POSE/EXHIBIT c272 §29A(b)",4,4
"CHILD PORNOGRAPHY, POSSESS c272 §29C",144,184
"CHILD PORNOGRAPHY, POSSESS, 2ND OFF.  c272 §29C",2,0
"CHILD PORNOGRAPHY, POSSESS, 2ND OFF. c272 §29C",0,9
"CHILD PORNOGRAPHY, POSSESS, 3RD OFF. c272 §29C",0,2
"CHILD UNDER 10, ABANDON c119 §39",2,4
CHILD UNDER 5 WITHOUT CARSEAT * c90 §7AA,13,89
"CHILD, PERMIT INJURY TO c265 §13J(b)",4,4
"CHILD, PERMIT SUBSTANTIAL INJURY TO c265 §13J(b)",4,0
"CHURCH, THREAT TO INJURE c266 §127A",1,0
"CHURCH, VANDALIZE c266 §98",0,1
"CHURCH/SYNAGOGUE, INJURY OVER $5000 TO c266 §127A",8,5
"CHURCH/SYNAGOGUE, INJURY UNDER $5000 TO c266 §127A",1,3
"CIGARETTE/MATCH, DROP ON FOREST/FIELD c148 §54",2,4
"CIGARETTES TO MINOR, DELIVER c270 §6",0,1
"CIGARETTES, POSSESS -12000 UNSTAMPED c64C §35",1,1
"CIGARETTES, SELL -12000 UNSTAMPED c64C §34",0,1
"CIGARETTES, SELL SINGLE UNPACKAGED c94 §307A",0,1
"CIGARETTES, SELL WITHOUT LICENSE c64C §10 & §2",0,2
"CITATION, ATTEMPT TO FALSIFY c. 90C s. 10",0,1
CIVIL RIGHTS ORDER VIOLATION c12 §11J,0,1
CIVIL RIGHTS VIOLATION WITH INJURY c265 §37,0,35
"CIVIL RIGHTS VIOLATION WITH INJURY, ATT c265 §37",0,1
CIVIL RIGHTS VIOLATION c265 §37,12,194
"COCAINE (c.94C s. 31 Class B(a)(4)), DISTRIBUTE OR POSSESS WITH INTENT, SUBSQ. OFF. c. 94C s. 32A(d)",0,1
"COCAINE, DISTRIBUTE c94C §32A(c)",14,224
"COCAINE, DISTRIBUTE, SUBSQ.OFF. c94C §32A(d)",6,177
"COCAINE, POSSESS TO DISTRIBUTE c94C §32A(c)",36,279
"COCAINE, POSSESS TO DISTRIBUTE, HABITUAL  c94C §32A(d)",1,0
"COCAINE, POSSESS TO DISTRIBUTE, SUBSQ. c94C §32A(d)",12,0
"COCAINE, TRAFFICKING IN c94C §32E(b)",34,535
"COCAINE, TRAFFICKING IN, OVER 100 GRAMS c94C §32E(b)(3)",0,83
"COCAINE, TRAFFICKING IN, OVER 14 GRAMS c94C §32E(b)(1)",0,41
"COCAINE, TRAFFICKING IN, OVER 18 GRAMS, LESS 36 c94C §32E(b)",0,22
"COCAINE, TRAFFICKING IN, OVER 200 GRAMS c94C §32E(b)(4)",0,133
"COCAINE, TRAFFICKING IN, OVER 28 GRAMS c94C §32E(b)(2)",0,201
"COCAINE, TRAFFICKING IN, SUBSEQUENT OFFENSE c94C §32E(b)",0,3
COMMERCIAL MV FAIL STOP FOR POLICE c159B §14B,0,1
COMMON CARRIER'S GROSS NEGLIGENCE c265 §30,0,2
"COMMON CARRIER, LARCENY FROM c266 §30(1)",0,1
"COMPUTER SYSTEM, UNAUTHORIZED ACCESS TO c266 §120F",3,8
CONFINE OR PUT IN FEAR TO STEAL/OR ATTEMPT c. 265 s. 21,0,5
"CONSIGNEE/FACTOR, CONVERSION BY c266 §88",0,1
CONSPIRACY TO VIOLATE DRUG LAW c. 94C s. 40,0,14
CONSPIRACY TO VIOLATE DRUG LAW c94C §40,581,1988
"CONSPIRACY TO VIOLATE DRUG LAW, HABITUAL c94C §40",3,0
CONSPIRACY c274 §7,331,222
CONSUME MARIJUANA IN PUBLIC PLACE c94G,1,0
CONSUMER CREDIT COST DISCLOSURE VIOL c140D §31,0,7
"CONTEMPT, CRIMINAL (Common Law)",0,6
CONTRIBUTE TO DELINQUENCY OF CHILD c119 §63,14,10
"CORI, DISSEMINATE/SEEK UNLAWFULLY c6 §178",1,5
"CORPORATE STATEMENT, FALSE c155 §4",0,1
"CORRECTIONAL INSTITUTION, DISTURB c268 §30",9,194
COUNTERFEIT COIN c267 §17,0,2
"COUNTERFEIT COINS, POSSESS 10 c267 §17",0,1
"COUNTERFEIT DRUG, DISTRIBUTE c94C §32G",2,27
"COUNTERFEIT DRUG, POSSESS TO DISTRIBUTE c94C §32G",1,13
"COUNTERFEIT MARK, DISTRIB 1000+/$10000+ c266 §147(b)(3)",0,1
"COUNTERFEIT MARK, DISTRIB 101-999/$1001-$9999 c266 §147(b)(2)",1,5
"COUNTERFEIT MARK, DISTRIBUTE c266 §147(b)(1)",8,15
"COUNTERFEIT MARK, DISTRIBUTE, 2ND OFF. c266 §147(b)(2)",0,1
"COUNTERFEIT NOTE, POSSESS c267 §12",25,120
"COUNTERFEIT NOTES, COMMON UTTERER OF c267 §11",0,3
"COUNTERFEIT NOTES, POSSESS 10 c267 §9",0,51
"COUNTERFEITING EQUIPMENT, MANUFACTURE c267 §13",0,2
"COUNTERFEITING EQUIPMENT, POSSESS c267 §13",0,4
"COUNTY EMPLOYEE, CONFLICT OF INTEREST c. 268A s. 13",0,1
"COURT PROCEEDINGS, DISRUPT c268 §13C",0,26
"COURT/JUDGE/JUROR, PICKETING c268 §13A",0,1
CREDIT +$250 BY FALSE FINANCIAL STATEMNT c266 §33(2) & §30(1),0,1
CREDIT CARD FRAUD OVER $1200 c266 §37C(e),2,8
CREDIT CARD FRAUD OVER $250 BY MERCHANT c266 §37C(g),0,4
CREDIT CARD FRAUD OVER $250 c266 §37C(e),47,360
CREDIT CARD FRAUD UNDER $1200 BY MERCHANT c266 §37B(i),0,1
CREDIT CARD FRAUD UNDER $1200 c266 §37B(g),9,12
CREDIT CARD FRAUD UNDER $250 BY MERCHANT c266 §37B(i),0,4
CREDIT CARD FRAUD UNDER $250 c266 §37B(g),29,403
"CREDIT CARD, ALLOW IMPROP USE UNDER $1200 c266 §37B(h)",0,2
"CREDIT CARD, ALLOW IMPROP USE UNDER $250 c266 §37B(h)",0,11
"CREDIT CARD, FALSE REPORT OF LOST c266 §37B(k)",0,3
"CREDIT CARD, FALSE STATEMENT TO OBTAIN c266 §37B(a)",5,18
"CREDIT CARD, FORGE OR UTTER FORGED c266 §37C(c)",14,149
"CREDIT CARD, IMPROPER USE OVER $1200 c266 §37C(d)",0,3
"CREDIT CARD, IMPROPER USE OVER $250 c266 §37C(d)",51,120
"CREDIT CARD, IMPROPER USE UNDER $1200  c266 §37B(f)",3,0
"CREDIT CARD, IMPROPER USE UNDER $1200 c266 §37B(f)",0,4
"CREDIT CARD, IMPROPER USE UNDER $250  c266 §37B(f)",129,0
"CREDIT CARD, IMPROPER USE UNDER $250 c266 §37B(f)",0,99
"CREDIT CARD, LARCENY OF c266 §37B(b)",95,106
"CREDIT CARD, NON-CARDHOLDER SIGN c266 §37B(e)",2,8
"CREDIT CARD, POSSESS BLANK c266 §37C(i)",0,7
"CREDIT CARD, POSSESS COUNTERFEIT PRESS c266 §37C(j)",0,23
"CREDIT CARD, RECEIVE IMPROP OVER $250 c266 §37C(h)",0,10
"CREDIT CARD, RECEIVE IMPROP UNDER $250 c266 §37B(j)",2,18
"CREDIT CARD, RECEIVE IMPROPER c266 §37C(b)",3,15
"CREDIT CARD, RECEIVE LOST c266 §37B(c)",7,23
"CREDIT CARD, RECEIVE STOLEN c266 §37B(b)",48,228
"CRIME REPORT, FALSE c269 §13A",38,116
"CRIMINAL PROCEEDING, WITHHOLD EVIDENCE FROM c268 §13E",0,48
CROSSWALK VIOLATION * c89 §11,55,338
CULTIVATION/MANUFACTURING MARIJUANA c94C §32C,8,0
"CULTIVATION/MANUFACTURING MARIJUANA, SUBSQ. OFF c94C §32C(b)",1,0
Child Under 8 Years & Under 58 Inches Without a Carseat,11,0
"DANGEROUS WEAPON ON SCHOOL GROUNDS,CARRY c269 §10(j)",16,37
"DANGEROUS WEAPON, CARRY c. 269 s. 10(b)",0,4
"DANGEROUS WEAPON, CARRY c269 §10(b)",189,1108
"DANGEROUS WEAPON, CARRY, 2ND OFF. c269 §10(b) & (d)",1,62
"DANGEROUS WEAPON, CARRY, 3RD OFF. c269 §10(b) & (d)",0,14
"DANGEROUS WEAPON, CARRY, 4TH OFF. c269 §10(b) & (d)",0,24
"DAY CARE, UNLICENSED c28A §11(a)",0,2
DCR WATERSHED NON-MV VIOLATION,9,0
"DEATH CERTIFICATE, FILE FALSE c46 §14",0,4
DEER TAGGING VIOLATION c131 §72,1,1
DEFACE PROPERTY c266 §126,46,46
DEFACEMENT OF REAL OR PERSONAL PROPERTY c. 266 s. 126A,0,4
"DEFECTIVE EQUIPMENT, OPERATING WITH c. 90 s. 1",0,3
"DEFRAUDING, POSE AS ANOTHER W/O EXPRESS AUTHORIZATION c. 266 s. 37E",0,1
"DEGREE, FALSE CLAIM TO HOLD SCHOOL c266 §89",0,2
"DESTRUCTION OF PROPERTY +$1200, MALICIOUS",11,0
"DESTRUCTION OF PROPERTY +$1200, MALICIOUS - HABITUAL c266 §127",2,0
"DESTRUCTION OF PROPERTY +$1200, MALICIOUS c266 §127",0,180
"DESTRUCTION OF PROPERTY +$1200, WANTON",20,0
"DESTRUCTION OF PROPERTY +$1200, WANTON c266 §127",0,17
"DESTRUCTION OF PROPERTY +$250, MALICIOUS c266 §127",391,4431
"DESTRUCTION OF PROPERTY +$250, WANTON c. 266 s. 127",0,1
"DESTRUCTION OF PROPERTY +$250, WANTON c266 §127",120,389
"DESTRUCTION OF PROPERTY -$1200, MALICIOUS c266 §127",46,303
"DESTRUCTION OF PROPERTY -$1200, WANTON c266 §127",10,37
"DESTRUCTION OF PROPERTY -$250, MALICIOUS c266 §127",350,817
"DESTRUCTION OF PROPERTY -$250, WANTON OR MALICIOUS c. 266 s. 127",0,1
"DESTRUCTION OF PROPERTY -$250, WANTON c266 §127",130,98
DISGUISE TO OBSTRUCT JUSTICE c268 §34,18,35
"DISORDERLY CONDUCT ON PUB CONVEY,3RD OFF c272 §43",0,1
DISORDERLY CONDUCT ON PUBLIC CONVEYANCE c272 §43,1,32
DISORDERLY CONDUCT c. 272 s. 53,0,4
DISORDERLY CONDUCT c272 §53,1377,5902
"DISORDERLY CONDUCT, SUBSQ. OFF. c272 §53",0,5
DISTRIBUTION OXYCODENE c94C §32A(a),0,3
DISTURBING THE PEACE c272 §53,403,1870
"DISTURBING THE PEACE, SUBSQ. OFF. c272 §53",0,3
"DIVORCE, ISSUE UNLAWFUL CERTIFICATE OF c208 §44",0,1
"DNA DATABASE SAMPLE, REFUSE PROVIDE c22E §11",169,515
"DNA SAMPLE, REFUSE TO PROVIDE c. 22E s. 11",0,10
"DOG KENNEL, UNLICENSED c140 §137A",0,1
"DOG ORDER, DISOBEY c140 §157",3,1
DOG ORDINANCE/BY-LAW VIOLATION c140 §173,4,0
