"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","alphcharge"
"16","MEDICAL ASSISTANCE FRAUD BY PROVIDER c118E §40",0,2,"MEDICAL ASSISTANCE FRAUD BY PROVIDER","118E","40","Yes","MEDICALASSISTANCEFRAUDBYPROVIDERc118E40"
"17","CHILD UNDER 10, ABANDON c119 §39",2,4,"CHILD UNDER 10, ABANDON","119","39","Yes","CHILDUNDER10ABANDONc11939"
"18","CHILD ABUSE, FRIVOLOUS REPORT OF c119 §51A",1,0,"CHILD ABUSE, FRIVOLOUS REPORT OF","119","51A","Yes","CHILDABUSEFRIVOLOUSREPORTOFc11951A"
"19","CHILD ABUSE, MANDATED REPORTER FL REPORT c119 §51A",1,0,"CHILD ABUSE, MANDATED REPORTER FL REPORT","119","51A","Yes","CHILDABUSEMANDATEDREPORTERFLREPORTc11951A"
"20","CONTRIBUTE TO DELINQUENCY OF CHILD c119 §63",14,10,"CONTRIBUTE TO DELINQUENCY OF CHILD","119","63","Yes","CONTRIBUTETODELINQUENCYOFCHILDc11963"
"21","CIVIL RIGHTS ORDER VIOLATION c12 §11J",0,1,"CIVIL RIGHTS ORDER VIOLATION","12","11J","Yes","CIVILRIGHTSORDERVIOLATIONc1211J"
"22","Sexually Dangerous Person, c123A",2,0,"SEXUALLY DANGEROUS PERSON,","123A","","No","SexuallyDangerousPersonc123A"
"23","SEXUALLY DANGEROUS PERSON c123A",0,3,"SEXUALLY DANGEROUS PERSON","123A","","No","SEXUALLYDANGEROUSPERSONc123A"
"24","ESCAPE FROM COUNTY PRISON FARM, ATTEMPT c126 §37",0,1,"ESCAPE FROM COUNTY PRISON FARM, ATTEMPT","126","37","Yes","ESCAPEFROMCOUNTYPRISONFARMATTEMPTc12637"
"25","A&B ON CORRECTIONAL OFFICER c127 §38B",25,117,"A&B ON CORRECTIONAL OFFICER","127","38B","Yes","ABONCORRECTIONALOFFICERc12738B"
"26","A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER c127 §38B(c)",4,0,"A&B WITH BODILY SUBSTANCE ON CORRECTIONAL OFFICER","127","38B(c)","Yes","ABWITHBODILYSUBSTANCEONCORRECTIONALOFFICERc12738Bc"
"27","RACING PARIMUTUEL TICKET, FALSE c128A §10B",0,1,"RACING PARIMUTUEL TICKET, FALSE","128A","10B","Yes","RACINGPARIMUTUELTICKETFALSEc128A10B"
"28","STRIPED BASS TAKEN NOT BY ANGLING c130 §100B",0,2,"STRIPED BASS TAKEN NOT BY ANGLING","130","100B","Yes","STRIPEDBASSTAKENNOTBYANGLINGc130100B"
"29","FISH, THROW OVERBOARD UPON INSPECTION c130 §13",0,4,"FISH, THROW OVERBOARD UPON INSPECTION","130","13","Yes","FISHTHROWOVERBOARDUPONINSPECTIONc13013"
"30","LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE c130 §31",0,1,"LOBSTER/CRAB/FISH POT/CATCH, TAKE/INJURE","130","31","Yes","LOBSTERCRABFISHPOTCATCHTAKEINJUREc13031"
"31","LOBSTER/CRAB WITHOUT LICENSE c130 §37 & §38",0,1,"LOBSTER/CRAB WITHOUT LICENSE","130","37 & §38","Yes","LOBSTERCRABWITHOUTLICENSEc1303738"
"32","LOBSTER/CRAB VIOLATION c130 §38A",0,2,"LOBSTER/CRAB VIOLATION","130","38A","Yes","LOBSTERCRABVIOLATIONc13038A"
"33","LOBSTER, TAKE EGG-BEARING c130 §41",0,1,"LOBSTER, TAKE EGG-BEARING","130","41","Yes","LOBSTERTAKEEGGBEARINGc13041"
"34","LOBSTER, SHORT c130 §44",0,2,"LOBSTER, SHORT","130","44","Yes","LOBSTERSHORTc13044"
"35","LOBSTER CONTAINER IMPROP MARKED c130 §47",0,1,"LOBSTER CONTAINER IMPROP MARKED","130","47","Yes","LOBSTERCONTAINERIMPROPMARKEDc13047"
"36","SHELLFISH IN CONTAMINATED AREA AT NIGHT c130 §75",0,1,"SHELLFISH IN CONTAMINATED AREA AT NIGHT","130","75","Yes","SHELLFISHINCONTAMINATEDAREAATNIGHTc13075"
"37","FISHING, COMMERCIAL LICENSE VIOL c130 §80",0,3,"FISHING, COMMERCIAL LICENSE VIOL","130","80","Yes","FISHINGCOMMERCIALLICENSEVIOLc13080"
"38","SCALLOPS SALES VIOLATION c130 §92",0,1,"SCALLOPS SALES VIOLATION","130","92","Yes","SCALLOPSSALESVIOLATIONc13092"
"39","HUNT/FISH WITHOUT LICENSE c131 §11",7,1,"HUNT/FISH WITHOUT LICENSE","131","11","Yes","HUNTFISHWITHOUTLICENSEc13111"
"40","FISH/WILD ANIMAL, DEAL WITHOUT LIC c131 §23",0,1,"FISH/WILD ANIMAL, DEAL WITHOUT LIC","131","23","Yes","FISHWILDANIMALDEALWITHOUTLICc13123"
"41","ANIMAL QUARANTINE VIOLATION c131 §25C",0,1,"ANIMAL QUARANTINE VIOLATION","131","25C","Yes","ANIMALQUARANTINEVIOLATIONc13125C"
"42","LICENSE UNDER c.131, ALTER/FORGE c131 §33",0,2,"LICENSE UNDER","131","33","Yes","LICENSEUNDERc131ALTERFORGEc13133"
"43","WETLANDS VIOLATION, COASTAL/TIDAL c131 §40",10,0,"WETLANDS VIOLATION, COASTAL/TIDAL","131","40","Yes","WETLANDSVIOLATIONCOASTALTIDALc13140"
"44","HUNT/FISH IN CLOSED SEASON c131 §5",6,0,"HUNT/FISH IN CLOSED SEASON","131","5","Yes","HUNTFISHINCLOSEDSEASONc1315"
"45","FIREARM WITHIN 500 FT OF DWELLING c131 §58",7,42,"FIREARM WITHIN 500 FT OF DWELLING","131","58","Yes","FIREARMWITHIN500FTOFDWELLINGc13158"
"46","FIREARM, DISCHARGE NEAR HWAY c131 §58",3,1,"FIREARM, DISCHARGE NEAR HWAY","131","58","Yes","FIREARMDISCHARGENEARHWAYc13158"
"47","HUNTING INJURY, FAIL REPORT c131 §60",1,0,"HUNTING INJURY, FAIL REPORT","131","60","Yes","HUNTINGINJURYFAILREPORTc13160"
"48","HUNTING WEAPON, PERSONAL INJURY WITH c131 §60",1,0,"HUNTING WEAPON, PERSONAL INJURY WITH","131","60","Yes","HUNTINGWEAPONPERSONALINJURYWITHc13160"
"49","SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED c131 §63",2,1,"SHOTGUN/RIFLE IN MV/PLANE/BOAT, LOADED","131","63","Yes","SHOTGUNRIFLEINMVPLANEBOATLOADEDc13163"
"50","SHOTGUN SHELLS IN CLOSED SEASON c131 §66",1,0,"SHOTGUN SHELLS IN CLOSED SEASON","131","66","Yes","SHOTGUNSHELLSINCLOSEDSEASONc13166"
"51","HUNT BY ARTIFICIAL LIGHT c131 §68",3,0,"HUNT BY ARTIFICIAL LIGHT","131","68","Yes","HUNTBYARTIFICIALLIGHTc13168"
"52","DEER TAGGING VIOLATION c131 §72",1,1,"DEER TAGGING VIOLATION","131","72","Yes","DEERTAGGINGVIOLATIONc13172"
"53","TURKEY, HUNT/POSSESS WILD c131 §75",1,0,"TURKEY, HUNT/POSSESS WILD","131","75","Yes","TURKEYHUNTPOSSESSWILDc13175"
"54","TRAP, UNLAWFUL c131 §80A",1,0,"TRAP, UNLAWFUL","131","80A","Yes","TRAPUNLAWFULc13180A"
"55","ANIMAL, IMPORT/EXPORT IMPROP c131 §85",2,0,"ANIMAL, IMPORT/EXPORT IMPROP","131","85","Yes","ANIMALIMPORTEXPORTIMPROPc13185"
"56","TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH c. 131 s. 85",0,2,"TRANSPORTATION OF UNLAWFULLY TAKEN FISH/ANIMALS INTO OR OUT OF THE COMMONWEALTH","131","85","Yes","TRANSPORTATIONOFUNLAWFULLYTAKENFISHANIMALSINTOOROUTOFTHECOMMONWEALTHc131s85"
"57","FOREST CUTTING, UNLICENSED COMMERCIAL c132 §46",1,0,"FOREST CUTTING, UNLICENSED COMMERCIAL","132","46","Yes","FORESTCUTTINGUNLICENSEDCOMMERCIALc13246"
"58","DRINKING IN PUBLIC c. 138 s. 1",0,227,"DRINKING IN PUBLIC","138","1","Yes","DRINKINGINPUBLICc138s1"
"59","LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW c138 §2",0,11,"LIQUOR, SELL/MAKE/STORE/TRANSPORT UNLAW","138","2","Yes","LIQUORSELLMAKESTORETRANSPORTUNLAWc1382"
"60","LIQUOR, TRANSPORT UNLAWFULLY c138 §22",4,1,"LIQUOR, TRANSPORT UNLAWFULLY","138","22","Yes","LIQUORTRANSPORTUNLAWFULLYc13822"
"61","LIQUOR, TRANSPORT UNLAWFULLY c. 138 s. 22",0,1,"LIQUOR, TRANSPORT UNLAWFULLY","138","22","Yes","LIQUORTRANSPORTUNLAWFULLYc138s22"
"62","LIQUOR TO PERSON UNDER 21, SELL/DELIVER c138 §34",48,40,"LIQUOR TO PERSON UNDER 21, SELL/DELIVER","138","34","Yes","LIQUORTOPERSONUNDER21SELLDELIVERc13834"
"63","LIQUOR, PERSON UNDER 21 PROCURE c138 §34A",15,36,"LIQUOR, PERSON UNDER 21 PROCURE","138","34A","Yes","LIQUORPERSONUNDER21PROCUREc13834A"
"64","LIQUOR, ASSIST PERSON UNDER 21 PURCHASE c138 §34A",9,7,"LIQUOR, ASSIST PERSON UNDER 21 PURCHASE","138","34A","Yes","LIQUORASSISTPERSONUNDER21PURCHASEc13834A"
"65","LIQUOR ID CARD/LICENSE, FALSE/MISUSE c138 §34B",29,30,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE","138","34B","Yes","LIQUORIDCARDLICENSEFALSEMISUSEc13834B"
"66","LIQUOR LICENSING AUTH, REFUSE ID SELF TO c138 §34B",0,6,"LIQUOR LICENSING AUTH, REFUSE ID SELF TO","138","34B","Yes","LIQUORLICENSINGAUTHREFUSEIDSELFTOc13834B"
"67","LIQUOR ID CARD/LICENSE, FALSE/MISUSE c. 138 s. 34B",0,1,"LIQUOR ID CARD/LICENSE, FALSE/MISUSE","138","34B","Yes","LIQUORIDCARDLICENSEFALSEMISUSEc138s34B"
"68","LIQUOR, PERSON UNDER 21 POSSESS c138 §34C",666,290,"LIQUOR, PERSON UNDER 21 POSSESS","138","34C","Yes","LIQUORPERSONUNDER21POSSESSc13834C"
"69","LIQUOR CLUB, UNLICENSED c138 §61",0,2,"LIQUOR CLUB, UNLICENSED","138","61","Yes","LIQUORCLUBUNLICENSEDc13861"
"70","LIQUOR VIOLATION c138 §62",0,28,"LIQUOR VIOLATION","138","62","Yes","LIQUORVIOLATIONc13862"
"71","LIQUOR INSPECTOR, OBSTRUCT c138 §63A",0,1,"LIQUOR INSPECTOR, OBSTRUCT","138","63A","Yes","LIQUORINSPECTOROBSTRUCTc13863A"
"72","GAMBLING NUISANCE, MAINTAIN c139 §14-§15",0,3,"GAMBLING NUISANCE, MAINTAIN","139","14-§15","Yes","GAMBLINGNUISANCEMAINTAINc1391415"
"73","NUISANCE, AID/PERMIT c139 §20",0,3,"NUISANCE, AID/PERMIT","139","20","Yes","NUISANCEAIDPERMITc13920"
"74","PROSTITUTION NUISANCE, MAINTAIN c139 §4-§5",0,1,"PROSTITUTION NUISANCE, MAINTAIN","139","4-§5","Yes","PROSTITUTIONNUISANCEMAINTAINc13945"
"75","SMALL LOANS, UNLICENSED c140 §110",0,1,"SMALL LOANS, UNLICENSED","140","110","Yes","SMALLLOANSUNLICENSEDc140110"
"76","INNKEEPER, DEFRAUD, OVER $100 c140 §12",7,29,"INNKEEPER, DEFRAUD, OVER $100","140","12","Yes","INNKEEPERDEFRAUDOVER100c14012"
"77","INNKEEPER, DEFRAUD, UNDER $100 c140 §12",3,30,"INNKEEPER, DEFRAUD, UNDER $100","140","12","Yes","INNKEEPERDEFRAUDUNDER100c14012"
"78","RESTAURANT, DEFRAUD c140 §12",2,29,"RESTAURANT, DEFRAUD","140","12","Yes","RESTAURANTDEFRAUDc14012"
"79","INNKEEPER, DEFRAUD, UNDER $100 c. 140 s. 12",0,1,"INNKEEPER, DEFRAUD, UNDER $100","140","12","Yes","INNKEEPERDEFRAUDUNDER100c140s12"
"80","AMMUNITION, UNLICENSED SALE OF c140 §122B",0,19,"AMMUNITION, UNLICENSED SALE OF","140","122B","No","AMMUNITIONUNLICENSEDSALEOFc140122B"
"81","SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER c140 §122D",1,0,"SELF-DEFENSE SPRAY, POSS BY FELON/YOUTHFUL OFFENDER","140","122D","No","SELFDEFENSESPRAYPOSSBYFELONYOUTHFULOFFENDERc140122D"
"82","SELF DEFENSE SPRAY, POSS BY FELON/YO c. 140 §122D/A",0,2,"SELF DEFENSE SPRAY, POSS BY FELON/YO","140","122D/A","No","SELFDEFENSESPRAYPOSSBYFELONYOc140122DA"
"83","FIREARM SALE, IMPROPER c140 §128",1,2,"FIREARM SALE, IMPROPER","140","128","No","FIREARMSALEIMPROPERc140128"
"84","FIREARM SALE, UNLICENSED c140 §128",0,9,"FIREARM SALE, UNLICENSED","140","128","No","FIREARMSALEUNLICENSEDc140128"
"85","FIREARM, FAIL REPORT UNAUTHORIZED c140 §128B",3,0,"FIREARM, FAIL REPORT UNAUTHORIZED","140","128B","No","FIREARMFAILREPORTUNAUTHORIZEDc140128B"
"86","FIREARM TRANSFER/LOSS, OWNER FL REPORT c140 §129C",3,1,"FIREARM TRANSFER/LOSS, OWNER FL REPORT","140","129C","No","FIREARMTRANSFERLOSSOWNERFLREPORTc140129C"
"87","FIREARM LICENSE RESTRICTION VIOL c140 §131(a) or (b)",1,19,"FIREARM LICENSE RESTRICTION VIOL","140","131(a) or (b)","No","FIREARMLICENSERESTRICTIONVIOLc140131aorb"
"88","FIREARM LICENSE, IMPROP ISSUE c140 §131(k)",0,3,"FIREARM LICENSE, IMPROP ISSUE","140","131(k)","No","FIREARMLICENSEIMPROPISSUEc140131k"
"89","FIREARM IN VEHICLE, LEAVE c140 §131C",6,11,"FIREARM IN VEHICLE, LEAVE","140","131C","No","FIREARMINVEHICLELEAVEc140131C"
"90","RIFLE/SHOTGUN IN VEH, LEAVE LARGE CAPACITY c140 §131C(c)",0,3,"RIFLE/SHOTGUN IN VEH, LEAVE LARGE CAPACITY","140","131C(c)","No","RIFLESHOTGUNINVEHLEAVELARGECAPACITYc140131Cc"
"91","FIREARM, ALIEN POSSESS c140 §131H",0,1,"FIREARM, ALIEN POSSESS","140","131H","No","FIREARMALIENPOSSESSc140131H"
"92","ELECTRIC STUN GUN, SELL/POSSESS c. 140 s. 131J",0,1,"ELECTRIC STUN GUN, SELL/POSSESS","140","131J","No","ELECTRICSTUNGUNSELLPOSSESSc140s131J"
"93","FIREARM, STORE IMPROPER c. 140 s. 131L(a)",0,1,"FIREARM, STORE IMPROPER","140","131L(a)","No","FIREARMSTOREIMPROPERc140s131La"
"94","FIREARM, STORE IMPROP c140 §131L(a)&(b)",187,195,"FIREARM, STORE IMPROP","140","131L(a)&(b)","No","FIREARMSTOREIMPROPc140131Lab"
"95","FIREARM, STORE IMPROP LARGE CAPACITY c140 §131L(a)&(b)",22,35,"FIREARM, STORE IMPROP LARGE CAPACITY","140","131L(a)&(b)","No","FIREARMSTOREIMPROPLARGECAPACITYc140131Lab"
"96","RIFLE/SHOTGUN, STORE IMPROP NEAR MINOR c140 §131L(a)&(c)",5,5,"RIFLE/SHOTGUN, STORE IMPROP NEAR MINOR","140","131L(a)&(c)","No","RIFLESHOTGUNSTOREIMPROPNEARMINORc140131Lac"
"97","FIREARM, STORE IMPROP LARGE-CAPACITY NEAR MINOR c140 §131L(a)&(d)",11,8,"FIREARM, STORE IMPROP LARGE-CAPACITY NEAR MINOR","140","131L(a)&(d)","No","FIREARMSTOREIMPROPLARGECAPACITYNEARMINORc140131Lad"
"98","ASSAULT WEAPON, SELL/POSSESS c140 §131M",8,33,"ASSAULT WEAPON, SELL/POSSESS","140","131M","No","ASSAULTWEAPONSELLPOSSESSc140131M"
"99","ASSAULT WEAPON, SELL/POSSESS, SUBSQ. c. 140 s. 131M",0,1,"ASSAULT WEAPON, SELL/POSSESS, SUBSQ.","140","131M","No","ASSAULTWEAPONSELLPOSSESSSUBSQc140s131M"
"100","DOG, FAIL LICENSE c140 §137",67,1,"DOG, FAIL LICENSE","140","137","Yes","DOGFAILLICENSEc140137"
"101","DOG KENNEL, UNLICENSED c140 §137A",0,1,"DOG KENNEL, UNLICENSED","140","137A","Yes","DOGKENNELUNLICENSEDc140137A"
"102","DOG/CAT RABIES VACCINATION VIOLATION c140 §145B",14,1,"DOG/CAT RABIES VACCINATION VIOLATION","140","145B","Yes","DOGCATRABIESVACCINATIONVIOLATIONc140145B"
"103","DOG ORDER, DISOBEY c140 §157",3,1,"DOG ORDER, DISOBEY","140","157","Yes","DOGORDERDISOBEYc140157"
"104","DOG ORDINANCE/BY-LAW VIOLATION c140 §173",4,0,"DOG ORDINANCE/BY-LAW VIOLATION","140","173","Yes","DOGORDINANCEBYLAWVIOLATIONc140173"
"105","DOG, TETHERING OR CONFINING VIOLATION c140 §174E(f)",0,1,"DOG, TETHERING OR CONFINING VIOLATION","140","174E(f)","Yes","DOGTETHERINGORCONFININGVIOLATIONc140174Ef"
"106","TICKET RESALE, UNLICENSED c140 §185A",0,2,"TICKET RESALE, UNLICENSED","140","185A","Yes","TICKETRESALEUNLICENSEDc140185A"
"107","TICKET SCALPING c140 §185D",0,1,"TICKET SCALPING","140","185D","Yes","TICKETSCALPINGc140185D"
"108","LODGING HOUSE, UNLICENSED c140 §24",0,1,"LODGING HOUSE, UNLICENSED","140","24","Yes","LODGINGHOUSEUNLICENSEDc14024"
"109","HOTEL REGISTER, FAIL KEEP c140 §27",0,4,"HOTEL REGISTER, FAIL KEEP","140","27","Yes","HOTELREGISTERFAILKEEPc14027"
"110","UNAUTHORIZED USE OF CREDIT CARDS c. 140D s. 27",0,48,"UNAUTHORIZED USE OF CREDIT CARDS","140D","27","Yes","UNAUTHORIZEDUSEOFCREDITCARDSc140Ds27"
"111","CONSUMER CREDIT COST DISCLOSURE VIOL c140D §31",0,7,"CONSUMER CREDIT COST DISCLOSURE VIOL","140D","31","Yes","CONSUMERCREDITCOSTDISCLOSUREVIOLc140D31"
"112","ELECTRIC STUN GUN, SELL/POSSESS c141 §131J",25,0,"ELECTRIC STUN GUN, SELL/POSSESS","141","131J","Yes","ELECTRICSTUNGUNSELLPOSSESSc141131J"
"113","ELECTRIC STUN GUN, SELL/POSSESS c141 §31J",0,111,"ELECTRIC STUN GUN, SELL/POSSESS","141","31J","Yes","ELECTRICSTUNGUNSELLPOSSESSc14131J"
"114","HOME IMPROVEMENT CONTRACTOR, UNLICENSED c142A §19",1,2,"HOME IMPROVEMENT CONTRACTOR, UNLICENSED","142A","19","Yes","HOMEIMPROVEMENTCONTRACTORUNLICENSEDc142A19"
"115","HOME IMPROVEMENT CONTRACTOR VIOLATION c142A §19",0,7,"HOME IMPROVEMENT CONTRACTOR VIOLATION","142A","19","Yes","HOMEIMPROVEMENTCONTRACTORVIOLATIONc142A19"
"116","FIRE PREVENTION REGULATIONS VIOLATION c148 §10B",2,0,"FIRE PREVENTION REGULATIONS VIOLATION","148","10B","Yes","FIREPREVENTIONREGULATIONSVIOLATIONc14810B"
"117","SPRINKLER SYSTEM VIOL, HIGH RISE c148 §26A",0,1,"SPRINKLER SYSTEM VIOL, HIGH RISE","148","26A","Yes","SPRINKLERSYSTEMVIOLHIGHRISEc14826A"
"118","SPRINKLER SYSTEM VIOL c148 §26B",0,1,"SPRINKLER SYSTEM VIOL","148","26B","Yes","SPRINKLERSYSTEMVIOLc14826B"
"119","SMOKE DETECTOR VIOLATION c148 §26E",0,1,"SMOKE DETECTOR VIOLATION","148","26E","Yes","SMOKEDETECTORVIOLATIONc14826E"
"120","SPRINKLER SYSTEM VIOL, MULTIPLE DWELL c148 §26I",0,1,"SPRINKLER SYSTEM VIOL, MULTIPLE DWELL","148","26I","Yes","SPRINKLERSYSTEMVIOLMULTIPLEDWELLc14826I"
"121","SPRINKLER SYSTEM, FAIL INSTALL c148 §27",0,1,"SPRINKLER SYSTEM, FAIL INSTALL","148","27","Yes","SPRINKLERSYSTEMFAILINSTALLc14827"
"122","SPRINKLER SYSTEM, DISCONNECT c148 §27A",18,12,"SPRINKLER SYSTEM, DISCONNECT","148","27A","Yes","SPRINKLERSYSTEMDISCONNECTc14827A"
"123","FIRE VIOLATION, MISCELLANEOUS c148 §34",3,1,"FIRE VIOLATION, MISCELLANEOUS","148","34","Yes","FIREVIOLATIONMISCELLANEOUSc14834"
"124","FIREWORKS, POSSESS UNLAWFUL c148 §39",22,30,"FIREWORKS, POSSESS UNLAWFUL","148","39","Yes","FIREWORKSPOSSESSUNLAWFULc14839"
"125","FIREWORKS, SELL UNLAWFUL c148 §39",0,2,"FIREWORKS, SELL UNLAWFUL","148","39","Yes","FIREWORKSSELLUNLAWFULc14839"
"126","CIGARETTE/MATCH, DROP ON FOREST/FIELD c148 §54",2,4,"CIGARETTE/MATCH, DROP ON FOREST/FIELD","148","54","Yes","CIGARETTEMATCHDROPONFORESTFIELDc14854"
"127","PARKING LOT, UNLICENSED c148 §56",0,1,"PARKING LOT, UNLICENSED","148","56","Yes","PARKINGLOTUNLICENSEDc14856"
"128","EMPLOYER FAIL PAY WAGES TIMELY c149 §148",0,1,"EMPLOYER FAIL PAY WAGES TIMELY","149","148","Yes","EMPLOYERFAILPAYWAGESTIMELYc149148"
"129","UNEMPLOYMENT COMP, FALSE STATEMENT FOR c151A §47",0,268,"UNEMPLOYMENT COMP, FALSE STATEMENT FOR","151A","47","Yes","UNEMPLOYMENTCOMPFALSESTATEMENTFORc151A47"
"130","UNEMPLOYMENT COMP VIOLATION c151A §47",0,4,"UNEMPLOYMENT COMP VIOLATION","151A","47","Yes","UNEMPLOYMENTCOMPVIOLATIONc151A47"
"131","UNEMPLOYMENT COMP ADMIN, OBSTRUCT c151A §47",0,1,"UNEMPLOYMENT COMP ADMIN, OBSTRUCT","151A","47","Yes","UNEMPLOYMENTCOMPADMINOBSTRUCTc151A47"
"132","HEALTH/WELFARE FUND, UNAPPROVED c151D §2",0,1,"HEALTH/WELFARE FUND, UNAPPROVED","151D","2","Yes","HEALTHWELFAREFUNDUNAPPROVEDc151D2"
"133","WORKERS COMP FRAUD c152 §14",0,3,"WORKERS COMP FRAUD","152","14","Yes","WORKERSCOMPFRAUDc15214"
"134","WORKERS COMP, EMPLOYER FAIL HAVE c152 §25C",2,2,"WORKERS COMP, EMPLOYER FAIL HAVE","152","25C","Yes","WORKERSCOMPEMPLOYERFAILHAVEc15225C"
"135","CORPORATE STATEMENT, FALSE c155 §4",0,1,"CORPORATE STATEMENT, FALSE","155","4","Yes","CORPORATESTATEMENTFALSEc1554"
"136","RAILROAD FARE, EVADE c159 §101",0,135,"RAILROAD FARE, EVADE","159","101","Yes","RAILROADFAREEVADEc159101"
"137","MBTA FARE, EVADE c159 §101",0,33,"MBTA FARE, EVADE","159","101","Yes","MBTAFAREEVADEc159101"
"138","RAILROAD FARE, ATTEMPT TO EVADE c159 §101",0,4,"RAILROAD FARE, ATTEMPT TO EVADE","159","101","Yes","RAILROADFAREATTEMPTTOEVADEc159101"
"139","MBTA FARE, ATTEMPT TO EVADE c159 §101",0,2,"MBTA FARE, ATTEMPT TO EVADE","159","101","Yes","MBTAFAREATTEMPTTOEVADEc159101"
"140","RAILROAD CAR/TRACK/SIGNAL, VANDALIZE c159 §103",0,1,"RAILROAD CAR/TRACK/SIGNAL, VANDALIZE","159","103","Yes","RAILROADCARTRACKSIGNALVANDALIZEc159103"
"141","BUS, THROW MISSILE AT c159 §104",0,2,"BUS, THROW MISSILE AT","159","104","Yes","BUSTHROWMISSILEATc159104"
"142","BUS DRIVER, ASSAULT c159 §104",0,2,"BUS DRIVER, ASSAULT","159","104","Yes","BUSDRIVERASSAULTc159104"
"143","TAXI VIOLATION c159A §15",0,441,"TAXI VIOLATION","159A","15","Yes","TAXIVIOLATIONc159A15"
"144","TAXI VIOLATION, SUBSQ.OFF. c159A §15",0,1,"TAXI VIOLATION, SUBSQ.OFF.","159A","15","Yes","TAXIVIOLATIONSUBSQOFFc159A15"
"145","TAXI FARE, EVADE c159A §16",3,68,"TAXI FARE, EVADE","159A","16","Yes","TAXIFAREEVADEc159A16"
"146","TAXI FARE, ATTEMPT TO EVADE c159A §16",0,7,"TAXI FARE, ATTEMPT TO EVADE","159A","16","Yes","TAXIFAREATTEMPTTOEVADEc159A16"
"147","TAXI FARE, ATTEMPT TO EVADE c159A §16A",0,1,"TAXI FARE, ATTEMPT TO EVADE","159A","16A","Yes","TAXIFAREATTEMPTTOEVADEc159A16A"
