"","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder","extra_criteria"
"55","BICYCLE VIOLATION c85 §11B",1,15,"BICYCLE VIOLATION","85","11B","",0,0,NA
"56","BICYCLE VIOLATOR REFUSE IDENTIFY SELF c85 §11C",0,2,"BICYCLE VIOLATOR REFUSE IDENTIFY SELF","85","11C","",0,0,NA
"57","FLARES VIOLATION BY COMMERCIAL VEHICLE * c85 §14B",0,1,"FLARES VIOLATION BY COMMERCIAL VEHICLE *","85","14B","",0,0,NA
"58","LIGHTS VIOLATION * c85 §15",13,31,"LIGHTS VIOLATION *","85","15","",0,0,NA
"59","LIGHTS VIOLATION BY NON-MOTOR VEHICLE c85 §15",0,1,"LIGHTS VIOLATION BY NON-MOTOR VEHICLE","85","15","",0,0,NA
"60","NAME/ADDRESS, REFUSE GIVE AT NIGHT c85 §16",1,0,"NAME/ADDRESS, REFUSE GIVE AT NIGHT","85","16","",0,0,NA
"61","NAME/ADDRESS, MV OP REFUSE GIVE AT NT * c85 §16",0,2,"NAME/ADDRESS, MV OP REFUSE GIVE AT NT *","85","16","",0,0,NA
"62","SOLICIT FROM PERSONS IN MOTOR VEHICLES c85 §17A",13,31,"SOLICIT FROM PERSONS IN MOTOR VEHICLES","85","17A","",0,0,NA
"63","SPEEDING ON COUNTY BRIDGE VIOL BY-LAW * c85 §20",0,1,"SPEEDING ON COUNTY BRIDGE VIOL BY-LAW *","85","20","",0,0,NA
"64","WEIGHT VIOLATION ON BRIDGE * c85 §34",3,0,"WEIGHT VIOLATION ON BRIDGE *","85","34","",0,0,NA
"65","LOAD UNSECURED/UNCOVERED * c85 §36",5,15,"LOAD UNSECURED/UNCOVERED *","85","36","",0,0,NA
"66","TREE/SHRUB, WANTONLY INJURE PUBLIC c87 §12",0,1,"TREE/SHRUB, WANTONLY INJURE PUBLIC","87","12","",0,0,NA
"67","KEEP RIGHT FOR ONCOMING MV, FAIL TO * c89 §1",21,46,"KEEP RIGHT FOR ONCOMING MV, FAIL TO *","89","1","",0,0,NA
"68","PASSING VIOLATION * c89 §2",31,106,"PASSING VIOLATION *","89","2","",0,0,NA
"69","KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL * c89 §4",14,11,"KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL *","89","4","",0,0,NA
"70","FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND c. 89 s. 4",0,2,"FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND","89","4","",0,0,NA
"71","MARKED LANES VIOLATION * c89 §4A",2191,2926,"MARKED LANES VIOLATION *","89","4A","",0,0,NA
"72","RIGHT LANE, FAIL DRIVE IN * c89 §4B",134,40,"RIGHT LANE, FAIL DRIVE IN *","89","4B","",0,0,NA
"73","BREAKDOWN LANE VIOLATION * c89 §4B",15,19,"BREAKDOWN LANE VIOLATION *","89","4B","",0,0,NA
"74","LEFT LANE RESTRICTION VIOLATION * c89 §4C",20,11,"LEFT LANE RESTRICTION VIOLATION *","89","4C","",0,0,NA
"75","STREETCAR FAIL STOP FOR FIRE APPARATUS c89 §6A",1,0,"STREETCAR FAIL STOP FOR FIRE APPARATUS","89","6A","",0,0,NA
"76","EMERGENCY VEHICLE, WILFULLY OBSTRUCT c89 §7",12,40,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT","89","7","",0,0,NA
"77","EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D c89 §7",7,25,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D","89","7","",0,0,NA
"78","EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D c89 §7",0,1,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D","89","7","",0,0,NA
"79","EMERGENCY VEHICLE, OBSTRUCT * c89 §7A",13,77,"EMERGENCY VEHICLE, OBSTRUCT *","89","7A","",0,0,NA
"80","YIELD AT INTERSECTION, FAIL * c89 §8",84,248,"YIELD AT INTERSECTION, FAIL *","89","8","",0,0,NA
"81","STOP/YIELD, FAIL TO * c89 §9",590,2878,"STOP/YIELD, FAIL TO *","89","9","",0,0,NA
"82","CROSSWALK VIOLATION * c89 §11",55,338,"CROSSWALK VIOLATION *","89","11","",0,0,NA
"83","DEFECTIVE EQUIPMENT, OPERATING WITH c. 90 s. 1",0,3,"DEFECTIVE EQUIPMENT, OPERATING WITH","90","1","",0,0,NA
"84","MOPED VIOLATION * c90 §1B",15,137,"MOPED VIOLATION *","90","1B","Yes",0,0,NA
"85","MOPED OPERATION BY UNLIC -17 c90 §1B",0,14,"MOPED OPERATION BY UNLIC -17","90","1B","Yes",0,0,NA
"86","MOPED OPERATION BY UNLIC -17, 2ND OFF. c90 §1B",0,1,"MOPED OPERATION BY UNLIC -17, 2ND OFF.","90","1B","Yes",0,0,NA
"87","MOTORIZED SCOOTER VIOLATION c90 s1E",15,0,"MOTORIZED SCOOTER VIOLATION","90","1E","Yes",0,0,NA
"88","HANDICAP PARKING PLATE MISUSE * c90 §2",2,7,"HANDICAP PARKING PLATE MISUSE *","90","2","Yes",0,0,NA
"89","NUMBER PLATE, MISUSE OFFICIAL * c90 §2",1,9,"NUMBER PLATE, MISUSE OFFICIAL *","90","2","Yes",0,0,NA
"90","EMISSIONS, REGISTER MV WITH IMPROPER c90 §2",1,7,"EMISSIONS, REGISTER MV WITH IMPROPER","90","2","Yes",0,0,NA
"91","EMISSIONS, ATT REGISTER MV WITH IMPROPER c90 §2",0,1,"EMISSIONS, ATT REGISTER MV WITH IMPROPER","90","2","Yes",0,0,NA
"92","REGISTRATION LEFT IN TRANSFERRED MV * c90 §2B",0,1,"REGISTRATION LEFT IN TRANSFERRED MV *","90","2B","Yes",0,0,NA
"93","MBOAT ID NO., OPERATE WITHOUT c90B §2",2,3,"MBOAT ID NO., OPERATE WITHOUT","90B","2","Yes",0,0,NA
"94","REGISTER MV OPERATED +30 DAYS YEAR, FL * c90 §3",7,8,"REGISTER MV OPERATED +30 DAYS YEAR, FL *","90","3","Yes",0,0,NA
"95","MBOAT ID NO., FAIL DISPLAY c90B §3(a)",2,0,"MBOAT ID NO., FAIL DISPLAY","90B","3(a)","Yes",0,0,NA
"96","MBOAT ID NO. CERTIF, FAIL POSSESS c90B §3(a)",0,1,"MBOAT ID NO. CERTIF, FAIL POSSESS","90B","3(a)","Yes",0,0,NA
"97","MBOAT ID NO., DISPLAY WRONG c90B §3(j)",2,0,"MBOAT ID NO., DISPLAY WRONG","90B","3(j)","Yes",0,0,NA
"98","TITLE, FAIL APPLY FOR MV c90D §4(a)",5,0,"TITLE, FAIL APPLY FOR MV","90D","4(a)","Yes",0,0,NA
"99","NUMBER PLATE, FALSE APPLIC FOR DEALER c90 §5(g)",0,1,"NUMBER PLATE, FALSE APPLIC FOR DEALER","90","5(g)","Yes",0,0,NA
"100","MILITARY MV, USE WITHOUT AUTHORITY c90 §5A",1,0,"MILITARY MV, USE WITHOUT AUTHORITY","90","5A","Yes",0,0,NA
"101","MBOAT EQUIPMENT VIOLATION c90B §5",2,1,"MBOAT EQUIPMENT VIOLATION","90B","5","Yes",0,0,NA
"102","BOAT LIFE SAVING DEVICE, NO c90B §5A",6,2,"BOAT LIFE SAVING DEVICE, NO","90B","5A","Yes",0,0,NA
"103","NUMBER PLATE VIOLATION * c90 §6",390,668,"NUMBER PLATE VIOLATION *","90","6","Yes",0,0,NA
"104","NUMBER PLATE, FAIL RETURN REPOSSESSED MV c90 §6C",1,5,"NUMBER PLATE, FAIL RETURN REPOSSESSED MV","90","6C","Yes",0,0,NA
"105","LIGHTS VIOLATION, MV * c90 §7",866,1144,"LIGHTS VIOLATION, MV *","90","7","Yes",0,0,NA
"106","EQUIPMENT VIOLATION, MISCELLANEOUS MV * c90 §7",430,506,"EQUIPMENT VIOLATION, MISCELLANEOUS MV *","90","7","Yes",0,0,NA
"107","BRAKES VIOLATION, MV * c90 §7",14,158,"BRAKES VIOLATION, MV *","90","7","Yes",0,0,NA
"108","MOTORCYCLE EQUIPMENT VIOLATION * c90 §7",8,82,"MOTORCYCLE EQUIPMENT VIOLATION *","90","7","Yes",0,0,NA
"109","MOTORCYCLE PASSENGER VIOLATION * c90 §7",1,2,"MOTORCYCLE PASSENGER VIOLATION *","90","7","Yes",0,0,NA
"110","HORN VIOLATION, MV * c90 §7",0,1,"HORN VIOLATION, MV *","90","7","Yes",0,0,NA
"111","CHILD UNDER 5 WITHOUT CARSEAT * c90 §7AA",13,89,"CHILD UNDER 5 WITHOUT CARSEAT *","90","7AA","Yes",0,0,NA
"112","CHILD 5-12 WITHOUT SEAT BELT * c90 §7AA",7,53,"CHILD 5-12 WITHOUT SEAT BELT *","90","7AA","Yes",0,0,NA
"113","SCHOOL BUS OPERATION/EQUIPMENT VIOL * c90 §7B",0,6,"SCHOOL BUS OPERATION/EQUIPMENT VIOL *","90","7B","Yes",0,0,NA
"114","SCHOOL BUS, OVERCROWDED c90 §7B",0,3,"SCHOOL BUS, OVERCROWDED","90","7B","Yes",0,0,NA
"115","SPECIAL NEEDS STUDENTS VEH FL ID OWNER * c90 §7CC",0,1,"SPECIAL NEEDS STUDENTS VEH FL ID OWNER *","90","7CC","Yes",0,0,NA
"116","PUPIL TRANSPORT VEHICLE, OVERCROWDED c90 §7D",0,1,"PUPIL TRANSPORT VEHICLE, OVERCROWDED","90","7D","Yes",0,0,NA
"117","PUPIL TRANSPORT VEHICLE VIOLATION * c90 §7D",0,1,"PUPIL TRANSPORT VEHICLE VIOLATION *","90","7D","Yes",0,0,NA
"118","RED/BLUE LIGHT VIOLATION, MV * c90 §7E",2,5,"RED/BLUE LIGHT VIOLATION, MV *","90","7E","Yes",0,0,NA
"119","HEIGHT, MODIFY MV c90 §7P",2,8,"HEIGHT, MODIFY MV","90","7P","Yes",0,0,NA
"120","HEIGHT, OPERATE MV WITH MODIFIED * c90 §7P",1,10,"HEIGHT, OPERATE MV WITH MODIFIED *","90","7P","Yes",0,0,NA
"121","HEIGHT, MODIFY MV, 2ND OFFENSE c90 §7P",0,1,"HEIGHT, MODIFY MV, 2ND OFFENSE","90","7P","Yes",0,0,NA
"122","TIRE TREAD DEPTH VIOLATION * c90 §7Q",23,3,"TIRE TREAD DEPTH VIOLATION *","90","7Q","Yes",0,0,NA
"123","VEHICLE ID NUMBER NOT DISPLAYED * c90 §7R",2,1,"VEHICLE ID NUMBER NOT DISPLAYED *","90","7R","Yes",0,0,NA
"124","INSPECTION, UNLICENSED MV c90 §7W",2,0,"INSPECTION, UNLICENSED MV","90","7W","Yes",0,0,NA
"125","JUNIOR OPERATOR WITH PASSENGER UNDER 18 * c90 §8",8,0,"JUNIOR OPERATOR WITH PASSENGER UNDER 18 *","90","8","Yes",0,0,NA
"126","MILITARY STATUS CHANGE, FAIL REPORT, 2ND c90 §8",0,2,"MILITARY STATUS CHANGE, FAIL REPORT, 2ND","90","8","Yes",0,0,NA
"127","PUPILS, TRANSPORT WITHOUT LICENSE * c90 §8A½",0,2,"PUPILS, TRANSPORT WITHOUT LICENSE *","90","8A½","Yes",0,0,NA
"128","LEARNERS PERMIT VIOLATION * c90 §8B",2,25,"LEARNERS PERMIT VIOLATION *","90","8B","Yes",0,0,NA
"129","RMV ID CARD FRAUD c90 §8H",0,5,"RMV ID CARD FRAUD","90","8H","Yes",0,0,NA
"130","RMV ID CARD ADDRESS CHANGE c90 §8J",2,0,"RMV ID CARD ADDRESS CHANGE","90","8J","Yes",0,0,NA
"131","BOAT OUILIQUOR c90B §8(a)",2,0,"BOAT OUILIQUOR","90B","8(a)","",0,0,NA
"132","BOAT OUI¿LIQUOR c90B §8(a)",0,12,"BOAT OUI¿LIQUOR","90B","8(a)","Yes",0,0,NA
"133","BOAT OUI¿DRUGS c90B §8(a)",0,2,"BOAT OUI¿DRUGS","90B","8(a)","Yes",0,0,NA
"134","WATER SKIS/SURFBOARD, NEGLIGENT USE OF c90B §8(b)",0,4,"WATER SKIS/SURFBOARD, NEGLIGENT USE OF","90B","8(b)","Yes",0,0,NA
"135","UNREGISTERED MOTOR VEHICLE * c90 §9",1496,3649,"UNREGISTERED MOTOR VEHICLE *","90","9","Yes",0,0,NA
"136","NUMBER PLATE MISSING * c90 §9",10,57,"NUMBER PLATE MISSING *","90","9","Yes",0,0,NA
"137","SAFETY GLASS VIOLATION * c90 §9A",2,17,"SAFETY GLASS VIOLATION *","90","9A","Yes",0,0,NA
"138","WINDOW OBSTRUCTED/NONTRANSPARENT * c90 §9D",36,394,"WINDOW OBSTRUCTED/NONTRANSPARENT *","90","9D","Yes",0,0,NA
"139","MBOAT ACCIDENT, FAIL REPORT c90B §9(B)",1,0,"MBOAT ACCIDENT, FAIL REPORT","90B","9(B)","Yes",0,0,NA
"140","UNLICENSED OPERATION OF MV c90 §10",3179,12148,"UNLICENSED OPERATION OF MV","90","10","Yes",0,0,NA
"141","LICENSE RESTRICTION, OPERATE MV IN VIOL c90 §10",40,89,"LICENSE RESTRICTION, OPERATE MV IN VIOL","90","10","Yes",0,0,NA
"142","LICENSE CLASS, OPERATE MV IN VIOLATION c90 §10",28,231,"LICENSE CLASS, OPERATE MV IN VIOLATION","90","10","Yes",0,0,NA
"143","LICENSE RESTRICTION, OPERATING MOTOR VEHICLE IN VIOLATION c. 90 s. 10",0,5,"LICENSE RESTRICTION, OPERATING MOTOR VEHICLE IN VIOLATION","90","10","Yes",0,0,NA
"144","UNLICENSED OPERATION OF MOTOR VEHICLE c. 90 s. 10a",0,22,"UNLICENSED OPERATION OF MOTOR VEHICLE","90","10a","",0,0,NA
"145","CITATION, ATTEMPT TO FALSIFY c. 90C s. 10",0,1,"CITATION, ATTEMPT TO FALSIFY","90C","10","Yes",0,0,NA
"146","LICENSE NOT IN POSSESSION * c90 §11",332,535,"LICENSE NOT IN POSSESSION *","90","11","",0,0,NA
"147","REGISTRATION NOT IN POSSESSION * c90 §11",204,256,"REGISTRATION NOT IN POSSESSION *","90","11","",0,0,NA
"148","IMPROPER OPERATION OF MV, ALLOW * c90 §12",11,1551,"IMPROPER OPERATION OF MV, ALLOW *","90","12","",0,0,NA
"149","UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT c90 §12",0,277,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT","90","12","",0,0,NA
"150","UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF c90 §12",0,4,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF","90","12","",0,0,NA
"151","IGNITION INTERLOCK, PERMIT OPERATION WITHOUT c90 §12(c)",1,0,"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT","90","12(c)","",0,0,NA
"152","MBOAT REFUSE STOP/ID FOR OFFICER c90B §12",0,1,"MBOAT REFUSE STOP/ID FOR OFFICER","90B","12","Yes",0,0,NA
"153","UNSAFE OPERATION OF MV * c90 §13",72,210,"UNSAFE OPERATION OF MV *","90","13","Yes",0,0,NA
"154","MOBILE PHONE, OPERATOR USE IMPROPERLY c90 §13",2,0,"MOBILE PHONE, OPERATOR USE IMPROPERLY","90","13","Yes",0,0,NA
"155","HANG ONTO MV c90 §13",1,2,"HANG ONTO MV","90","13","Yes",0,0,NA
"156","MOBILE PHONE, OPERATOR USE IMPOPERLY c90 §13",0,28,"MOBILE PHONE, OPERATOR USE IMPOPERLY","90","13","Yes",0,0,NA
"157","RIDE IN BACK OF TRAILER/SEMI c90 §13",0,2,"RIDE IN BACK OF TRAILER/SEMI","90","13","Yes",0,0,NA
"158","HANG ONTO MV, 2ND OFFENSE c90 §13",0,2,"HANG ONTO MV, 2ND OFFENSE","90","13","Yes",0,0,NA
"159","RIDE IN BACK OF TRAILER/SEMI, 3RD OFF. c90 §13",0,1,"RIDE IN BACK OF TRAILER/SEMI, 3RD OFF.","90","13","Yes",0,0,NA
"160","SEAT BELT, FAIL WEAR * c90 §13A",251,720,"SEAT BELT, FAIL WEAR *","90","13A","Yes",0,0,NA
"161","TURN, IMPROPER * c90 §14",28,357,"TURN, IMPROPER *","90","14","Yes",0,0,NA
"162","SLOW, FAIL TO * c90 §14",9,71,"SLOW, FAIL TO *","90","14","Yes",0,0,NA
"163","SCHOOL BUS, FAIL STOP FOR * c90 §14",0,36,"SCHOOL BUS, FAIL STOP FOR *","90","14","Yes",0,0,NA
"164","BLIND PEDESTRIAN, FAIL STOP FOR * c90 §14A",0,1,"BLIND PEDESTRIAN, FAIL STOP FOR *","90","14A","Yes",0,0,NA
"165","SIGNAL, FAIL TO * c90 §14B",70,488,"SIGNAL, FAIL TO *","90","14B","Yes",0,0,NA
"166","RAILROAD CROSSING VIOLATION * c90 §15",5,1,"RAILROAD CROSSING VIOLATION *","90","15","Yes",0,0,NA
"167","OPERATION OF MOTOR VEHICLE, IMPROPER * c90 §16",114,397,"OPERATION OF MOTOR VEHICLE, IMPROPER *","90","16","Yes",0,0,NA
"168","IDLE ENGINE OF STOPPED MV OVER 5 MINUTES * c90 §16A",1,14,"IDLE ENGINE OF STOPPED MV OVER 5 MINUTES *","90","16A","Yes",0,0,NA
"169","SPEEDING * c90 §17",1884,2496,"SPEEDING *","90","17","Yes",0,0,NA
"170","SPEEDING RATE GREATER THAN WAS REASONABLE AND PROPER c90 §17",9,0,"SPEEDING RATE GREATER THAN WAS REASONABLE AND PROPER","90","17","Yes",0,0,NA
"171","SPEEDING WHILE OVERWEIGHT VIOL PERMIT * c90 §17",0,5,"SPEEDING WHILE OVERWEIGHT VIOL PERMIT *","90","17","Yes",0,0,NA
"172","RACING MOTOR VEHICLE * c90 §17B",5,133,"RACING MOTOR VEHICLE *","90","17B","Yes",0,0,NA
"173","RACING MOTOR VEHICLE, SUBSQ.OFF. * c90 §17B",0,1,"RACING MOTOR VEHICLE, SUBSQ.OFF. *","90","17B","Yes",0,0,NA
"174","SPEEDING IN VIOL SPECIAL REGULATION * c90 §18",405,193,"SPEEDING IN VIOL SPECIAL REGULATION *","90","18","Yes",0,0,NA
"175","MOTOR VEH IN AREA CLOSED TO TRAVEL * c90 §18",1,24,"MOTOR VEH IN AREA CLOSED TO TRAVEL *","90","18","Yes",0,0,NA
"176","PEDESTRIAN VIOLATION c90 §18A",1,10,"PEDESTRIAN VIOLATION","90","18A","Yes",0,0,NA
"177","TIRE OUTSIDE FENDER c90 §19",5,4,"TIRE OUTSIDE FENDER","90","19","Yes",0,0,NA
"178","SNOW PLOW/HITCH, FAILURE TO REMOVE c90 §19K",1,0,"SNOW PLOW/HITCH, FAILURE TO REMOVE","90","19K","Yes",0,0,NA
