,Code,Untruncated Offense,FBI Category,MOST_SER_RANK,OFFENSE_TYPE,GRID,Penalty Type,Mandatory Gun,Police Notification,SORB,SDP,"Now Legal?
",Expungeable?,"If no, why not?",extra_criteria,Description,Chapter,Section
23,1304,A&B or property damage to intimidate for race/religion  Ch. 265 S 39(a),Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,A&B OR PROPERTY DAMAGE TO INTIMIDATE FOR RACE/RELIGION ,265,39(a)
24,1305,"A&B or property damage to intimidate for race/religion, bodily injury  Ch. 265 S 39(b)",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B OR PROPERTY DAMAGE TO INTIMIDATE FOR RACE/RELIGION, BODILY INJURY ",265,39(b)
25,411,"A&b or property damage to intimidate for race/religion, bodily injury level",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B OR PROPERTY DAMAGE TO INTIMIDATE FOR RACE/RELIGION, BODILY INJURY LEVEL",,
26,1635,"A&B or property damage to intimidate for race/religion, bodily injury, armed  Ch. 265 S 39(b)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"A&B OR PROPERTY DAMAGE TO INTIMIDATE FOR RACE/RELIGION, BODILY INJURY, ARMED ",265,39(b)
27,1193,A&B to collect loan  Ch. 265 S 13C,Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,A&B TO COLLECT LOAN ,265,13C
28,1194,"A&B to collect loan, subsq. off.  Ch. 265 S 13C",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B TO COLLECT LOAN, SUBSQ. OFF. ",265,13C
29,36,A&b with dangerous weapon (Moderate injury),Other Assaults,18.0,Person,3,Felony,,,,,,No,Armed w dangerous weapon,,A&B WITH DANGEROUS WEAPON (MODERATE INJURY),,
30,35,A&b with dangerous weapon (No/minor injury),Other Assaults,24.0,Person,2,Felony,,,,,,No,Armed w dangerous weapon,,A&B WITH DANGEROUS WEAPON (NO/MINOR INJURY),,
31,37,A&b with dangerous weapon (Significant injury),Other Assaults,12.0,Person,4,Felony,,,,,,No,Armed w dangerous weapon,,A&B WITH DANGEROUS WEAPON (SIGNIFICANT INJURY),,
32,33,A&b with dangerous weapon +60 (Moderate injury),Other Assaults,18.0,Person,3,Felony,,,,,,No,Armed w dangerous weapon,,A&B WITH DANGEROUS WEAPON +60 (MODERATE INJURY),,
33,32,A&b with dangerous weapon +60 (No/minor injury),Other Assaults,24.0,Person,2,Felony,,,,,,No,Armed w dangerous weapon,,A&B WITH DANGEROUS WEAPON +60 (NO/MINOR INJURY),,
34,34,A&b with dangerous weapon +60 (Significant injury),Other Assaults,12.0,Person,4,Felony,,,,,,No,Armed w dangerous weapon,,A&B WITH DANGEROUS WEAPON +60 (SIGNIFICANT INJURY),,
35,1658,A&B with firearm Ch. 265 S 15E,Other Assaults,7.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,A&B WITH FIREARM,265,15E
36,1659,"A&B with firearm, attempted Ch. 265 S 15F",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"A&B WITH FIREARM, ATTEMPTED",265,15F
37,1188,"A&B, aggravated, pregnant victim  Ch. 265 S 13A(b)(ii)",Aggravated Assault,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B, AGGRAVATED, PREGNANT VICTIM ",265,13A(b)(ii)
38,1189,"A&B, aggravated, restraining order  Ch. 265 S 13A(b)(iii)",Aggravated Assault,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B, AGGRAVATED, RESTRAINING ORDER ",265,13A(b)(iii)
39,1187,"A&B, aggravated, serious bodily injury  Ch. 265 S 13A(b)(i)",Aggravated Assault,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"A&B, AGGRAVATED, SERIOUS BODILY INJURY ",265,13A(b)(i)
40,1204,A&B/Assault on ambulance personnel  Ch. 265 S 13I,Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,A&B/ASSAULT ON AMBULANCE PERSONNEL ,265,13I
41,297,Abandonment,All Other Offense (except traffic),29.0,Public Order,2,Misdemeanor,,,,,,Yes,,,ABANDONMENT,,
42,296,Abandonment-child under ten,All Other Offense (except traffic),29.0,Public Order,2,Misdemeanor,,,,,,Yes,,,ABANDONMENT-CHILD UNDER TEN,,
43,188,Abducting females to be prostitutes,Prostitution and Commercialized Vice,29.0,Public Order,2,Felony,,,,,,No,178C Sex Offense,,ABDUCTING FEMALES TO BE PROSTITUTES,,
44,1217,"ABDW on elder 60 or over, moderate injury  Ch. 265 S 15A(a)",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"ABDW ON ELDER 60 OR OVER, MODERATE INJURY ",265,15A(a)
45,1218,"ABDW on elder 60 or over, moderate injury, subsq. off.  Ch. 265 S 15A(a)",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"ABDW ON ELDER 60 OR OVER, MODERATE INJURY, SUBSQ. OFF. ",265,15A(a)
46,1215,"ABDW on elder 60 or over, no/minor injury  Ch. 265 S 15A(a)",Other Assaults,24.0,Person,2,Felony,,,,,,No,Ch 265 Felony,,"ABDW ON ELDER 60 OR OVER, NO/MINOR INJURY ",265,15A(a)
47,1216,"ABDW on elder 60 or over, no/minor injury, subsq. off.  Ch. 265 S 15A(a)",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"ABDW ON ELDER 60 OR OVER, NO/MINOR INJURY, SUBSQ. OFF. ",265,15A(a)
48,1219,"ABDW on elder 60 or over, significant injury  Ch. 265 S 15A(a)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ABDW ON ELDER 60 OR OVER, SIGNIFICANT INJURY ",265,15A(a)
49,1220,"ABDW on elder 60 or over, significant injury, subsq. off.  Ch. 265 S 15A(a)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ABDW ON ELDER 60 OR OVER, SIGNIFICANT INJURY, SUBSQ. OFF. ",265,15A(a)
50,1225,"ABDW, aggravated, no serious bodily injury, pregnant victim  Ch. 265 S 15A(c)(ii)",Aggravated Assault,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ABDW, AGGRAVATED, NO SERIOUS BODILY INJURY, PREGNANT VICTIM ",265,15A(c)(ii)
51,1226,"ABDW, aggravated, no serious bodily injury, restraining order  Ch. 265 S 15A(c)(iii)",Aggravated Assault,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ABDW, AGGRAVATED, NO SERIOUS BODILY INJURY, RESTRAINING ORDER ",265,15A(c)(iii)
52,1227,"ABDW, aggravated, no serious bodily injury, victim under 14  Ch. 265 S 15A(c)(iv)",Aggravated Assault,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ABDW, AGGRAVATED, NO SERIOUS BODILY INJURY, VICTIM UNDER 14 ",265,15A(c)(iv)
53,1224,"ABDW, aggravated, serious bodily injury  Ch. 265 S 15A(c)(i)",Aggravated Assault,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ABDW, AGGRAVATED, SERIOUS BODILY INJURY ",265,15A(c)(i)
54,1222,"ABDW, moderate injury  Ch. 265 S 15A(b)",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"ABDW, MODERATE INJURY ",265,15A(b)
55,1221,"ABDW, no/minor injury  Ch. 265 S 15A(b)",Other Assaults,24.0,Person,2,Felony,,,,,,No,Ch 265 Felony,,"ABDW, NO/MINOR INJURY ",265,15A(b)
56,1223,"ABDW, significant injury  Ch. 265 S 15A(b)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ABDW, SIGNIFICANT INJURY ",265,15A(b)
57,45,Abuse of a female child,Offenses Against Family and Children,7.0,Person,5,Felony,,,,,,Yes,,,ABUSE OF A FEMALE CHILD,,
58,1169,Abuse prevention order violation  Ch. 209A S 7,All Other Offense (except traffic),29.0,Public Order,2,Misdemeanor,,,,,,No,Order pursuant Ch 209A,,ABUSE PREVENTION ORDER VIOLATION ,209A,7
59,1168,"Abuse prevention order violation, failure to surrender firearms  Ch. 209A S 3B",All Other Offense (except traffic),29.0,Public Order,2,Misdemeanor,,,,,,No,Order pursuant Ch 209A,,"ABUSE PREVENTION ORDER VIOLATION, FAILURE TO SURRENDER FIREARMS ",209A,3B
60,1167,"Abuse prevention order violation, probate act  Ch. 208 S 34C",All Other Offense (except traffic),29.0,Public Order,2,Misdemeanor,,,,,,No,Order Pursuan Ch 258E,,"ABUSE PREVENTION ORDER VIOLATION, PROBATE ACT ",208,34C
61,1170,"Abuse prevention order violation, retaliation   Ch. 209A S 7",All Other Offense (except traffic),23.0,Public Order,3,Misdemeanor,,,,,,No,Order pursuant Ch 209A,,"ABUSE PREVENTION ORDER VIOLATION, RETALIATION  ",209A,7
62,82,Abuse prevevention act (violating a restraining order),All Other Offense (except traffic),23.0,Public Order,3,Misdemeanor,,,,,,No,Order pursuant Ch 209C,,ABUSE PREVEVENTION ACT (VIOLATING A RESTRAINING ORDER),,
63,333,Accessory after the fact,All Other Offense (except traffic),,Public Order,U-1,Misdemeanor,,,,,,Yes,,,ACCESSORY AFTER THE FACT,,
64,339,Accessory before the fact,All Other Offense (except traffic),,Public Order,U-1,Misdemeanor,,,,,,Yes,,,ACCESSORY BEFORE THE FACT,,
65,1553,Accessory to felony after the fact  Ch. 274 S 4,All Other Offense (except traffic),29.0,Public Order,U-1,Felony,,,,,,Yes,,,ACCESSORY TO FELONY AFTER THE FACT ,274,4
66,1552,Accessory to felony before the fact  Ch. 274 S 2,All Other Offense (except traffic),17.0,Public Order,U,Felony,,,,,,Yes,,,ACCESSORY TO FELONY BEFORE THE FACT ,274,2
67,23,Accessory to murder - after fact,All Other Offense (except traffic),7.0,Person,5,Felony,,,,,,No,Death or serious injury,,ACCESSORY TO MURDER - AFTER FACT,,
68,22,Accessory to murder - before fact,All Other Offense (except traffic),7.0,Person,5,Felony,,,,,,No,Death or serious injury,,ACCESSORY TO MURDER - BEFORE FACT,,
69,1531,Accost/annoy person of opposite sex  Ch. 272 S 53,All Other Offense (except traffic),35.0,Public Order,1,Misdemeanor,,,,,,No,Ch 123A S 1 Offense,sex-related,ACCOST/ANNOY PERSON OF OPPOSITE SEX ,272,53
70,189,Accosting,All Other Offense (except traffic),29.0,Public Order,2,Misdemeanor,,,,,,Yes,,,ACCOSTING,,
71,196,Adultery,All Other Offense (except traffic),35.0,Public Order,1,Felony,,,,,,Yes,,,ADULTERY,,
72,281,Affray,All Other Offense (except traffic),35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,AFFRAY,,
73,1567,"Affray, Common Law [Grid 2012]",All Other Offense (except traffic),35.0,Public Order,1,CIV,,,,,,Yes,,,"AFFRAY, COMMON LAW [GRID 2012]",,
74,306,Aiding an escape,All Other Offense (except traffic),29.0,Public Order,2,Felony,,,,,,Yes,,,AIDING AN ESCAPE,,
75,1528,"Alcohol, possess in school  Ch. 272 S 40A",Liquor Laws,35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,"ALCOHOL, POSSESS IN SCHOOL ",272,40A
76,1151,"Alcohol, possession by minor  Ch. 138 S 34C",Liquor Laws,35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,"ALCOHOL, POSSESSION BY MINOR ",138,34C
77,1149,"Alcohol, sell/deliver to person under 21  Ch. 138 S 34",Liquor Laws,35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,"ALCOHOL, SELL/DELIVER TO PERSON UNDER 21 ",138,34
78,1620,"Alcohol, sell/make/store unlawfully  Ch. 138 S 2",Liquor Laws,35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,"ALCOHOL, SELL/MAKE/STORE UNLAWFULLY ",138,2
79,1148,"Alcohol, transport unlawfully  Ch. 138 S 22",Liquor Laws,33.0,Drugs,1,Misdemeanor,,,,,,Yes,,,"ALCOHOL, TRANSPORT UNLAWFULLY ",138,22
80,1152,"Alcohol, transportation by minor  Ch. 138 S 34C",Liquor Laws,35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,"ALCOHOL, TRANSPORTATION BY MINOR ",138,34C
81,329,"All other offenses violating, state, town, city, or mdc ordances",All Other Offense (except traffic),35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,"ALL OTHER OFFENSES VIOLATING, STATE, TOWN, CITY, OR MDC ORDANCES",,
82,211,Altering driver's license or registration-114m,Forgery and Counterfeiting,28.0,Motor Vehicle,2,Misdemeanor,,,,,,Yes,,,ALTERING DRIVER'S LICENSE OR REGISTRATION-114M,,
83,1153,"Ammunition, unlicensed sale of  Ch. 140 S 122B","Weapons (carrying, possessing)",25.0,Weapons,2,Misdemeanor,,,,,,No,S 121-131Q of Ch 140,,"AMMUNITION, UNLICENSED SALE OF ",140,122B
84,248,An alien possessing a firearm,"Weapons (carrying, possessing)",31.0,Weapons,1,Misdemeanor,,,,,,Yes,,,AN ALIEN POSSESSING A FIREARM,,
85,1548,"Animal fight, keep/promote  Ch. 272 S 94",All Other Offense (except traffic),29.0,Public Order,2,Felony,,,,,,Yes,,,"ANIMAL FIGHT, KEEP/PROMOTE ",272,94
86,1549,"Animal fight, presence at  Ch. 272 S 95",All Other Offense (except traffic),35.0,Public Order,1,Felony,,,,,,Yes,,,"ANIMAL FIGHT, PRESENCE AT ",272,95
87,1546,"Animal, cruelty to  Ch. 272 S 77",All Other Offense (except traffic),29.0,Public Order,2,Felony,,,,,,Yes,,,"ANIMAL, CRUELTY TO ",272,77
88,84,Annoying phone calls,All Other Offense (except traffic),35.0,Public Order,1,Misdemeanor,,,,,,Yes,,,ANNOYING PHONE CALLS,,
89,73,Armed assault & robbery,Other Assaults,7.0,Person,5,Felony,,,,,,No,Armed w a dangerous weapon,,ARMED ASSAULT & ROBBERY,,
90,39,Armed assault in dwelling,Other Assaults,7.0,Person,5,Felony,,,,,,No,Armed w a dangerous weapon,,ARMED ASSAULT IN DWELLING,,
91,68,Armed robbery (Display of gun),Robbery,12.0,Person,4,Felony,,,,,,No,Armed w a dangerous weapon,,ARMED ROBBERY (DISPLAY OF GUN),,
92,69,Armed robbery (No display of gun),Robbery,12.0,Person,4,Felony,,,,,,No,Armed w a dangerous weapon,,ARMED ROBBERY (NO DISPLAY OF GUN),,
93,77,Armed robbery while masked (Display of gun),Robbery,12.0,Person,4,Felony,,,,,,No,Armed w a dangerous weapon,,ARMED ROBBERY WHILE MASKED (DISPLAY OF GUN),,
94,78,Armed robbery while masked (No display of gun),Robbery,12.0,Person,4,Felony,,,,,,No,Armed w a dangerous weapon,,ARMED ROBBERY WHILE MASKED (NO DISPLAY OF GUN),,
95,58,Assault,Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,ASSAULT,,
96,1185,Assault  Ch. 265 S 13A(a),Other Assaults,24.0,Person,2,Misdemeanor,,,,,,Yes,,,ASSAULT ,265,13A(a)
97,1250,"Assault in dwelling, armed  Ch. 265 S 18A",Other Assaults,2.0,Person,6,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT IN DWELLING, ARMED ",265,18A
98,1251,"Assault in dwelling, armed, with firearm  Ch. 265 S 18A",Other Assaults,2.0,Person,6,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT IN DWELLING, ARMED, WITH FIREARM ",265,18A
99,67,Assault of an officer,Other Assaults,18.0,Person,3,Misdemeanor,,,,,,Yes,,,ASSAULT OF AN OFFICER,,
100,1663,Assault on family member Ch. 265 S 13M,Other Assaults,24.0,Person,2,Misdemeanor,,,,,,No,Violation of Ch. 265 S 13M,,ASSAULT ON FAMILY MEMBER,265,13M
101,1661,"Assault on family member, subsq.  Ch. 265 S 13M",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT ON FAMILY MEMBER, SUBSQ. ",265,13M
102,1299,Assault to commit felony  Ch. 265 S 29,Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,ASSAULT TO COMMIT FELONY ,265,29
103,1243,"Assault to murder elder 60 or over, armed  Ch. 265 S 18(a)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO MURDER ELDER 60 OR OVER, ARMED ",265,18(a)
104,1244,"Assault to murder elder 60 or over, armed, subsq. off.  Ch. 265 S 18(a)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO MURDER ELDER 60 OR OVER, ARMED, SUBSQ. OFF. ",265,18(a)
105,1245,"Assault to murder elder 60 or over, armed, with firearm  Ch. 265 S 18(a)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO MURDER ELDER 60 OR OVER, ARMED, WITH FIREARM ",265,18(a)
106,1634,"Assault to murder elder 60 or over, armed, with firearm, subsq.  Ch. 265 S 18(a)",Other Assaults,2.0,Person,6,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO MURDER ELDER 60 OR OVER, ARMED, WITH FIREARM, SUBSQ. ",265,18(a)
107,1214,Assault to murder or maim  Ch. 265 S 15,Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,ASSAULT TO MURDER OR MAIM ,265,15
108,414,"Assault to murder, armed",Other Assaults,7.0,Person,5,Felony,,,,,,No,Death or serious injury,,"ASSAULT TO MURDER, ARMED",,
109,1248,"Assault to murder, armed  Ch. 265 S 18(b)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO MURDER, ARMED ",265,18(b)
110,1249,"Assault to murder, armed, with firearm  Ch. 265 S 18(b)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO MURDER, ARMED, WITH FIREARM ",265,18(b)
111,1279,Assault to rape  Ch. 265 S 24,Other Assaults,12.0,Person,4,Felony,,,Yes,Yes,,No,Ch 265 Felony,,ASSAULT TO RAPE ,265,24
112,1283,Assault to rape child under 16  Ch. 265 S 24B,Other Assaults,7.0,Person,5,Felony,,Yes,Yes,Yes,,No,Ch 265 Felony,,ASSAULT TO RAPE CHILD UNDER 16 ,265,24B
113,1285,"Assault to rape child under 16, armed, with firearm  Ch. 265 S 24B",Other Assaults,2.0,Person,6,Felony,,Yes,Yes,Yes,,No,Ch 265 Felony,,"ASSAULT TO RAPE CHILD UNDER 16, ARMED, WITH FIREARM ",265,24B
114,1286,"Assault to rape child under 16, armed, with firearm, subsq.  Ch. 265 S 24B",Other Assaults,2.0,Person,6,Felony,,Yes,Yes,Yes,,No,Ch 265 Felony,,"ASSAULT TO RAPE CHILD UNDER 16, ARMED, WITH FIREARM, SUBSQ. ",265,24B
115,1284,"Assault to rape child under 16, subsq. off.  Ch. 265 S 24B",Other Assaults,2.0,Person,6,Felony,,Yes,Yes,Yes,,No,Ch 265 Felony,,"ASSAULT TO RAPE CHILD UNDER 16, SUBSQ. OFF. ",265,24B
116,1281,"Assault to rape, armed, with firearm  Ch. 265 S 24",Other Assaults,12.0,Person,4,Felony,,,Yes,Yes,,No,Ch 265 Felony,,"ASSAULT TO RAPE, ARMED, WITH FIREARM ",265,24
117,1282,"Assault to rape, armed, with firearm, subsq. off.  Ch. 265 S 24",Other Assaults,2.0,Person,6,Felony,,,Yes,Yes,,No,Ch 265 Felony,,"ASSAULT TO RAPE, ARMED, WITH FIREARM, SUBSQ. OFF. ",265,24
118,1280,"Assault to rape, subsq. off.  Ch. 265 S 24",Other Assaults,7.0,Person,5,Felony,,,Yes,Yes,,No,Ch 265 Felony,,"ASSAULT TO RAPE, SUBSQ. OFF. ",265,24
119,1240,"Assault to rob elder 60 or over, armed  Ch. 265 S 18(a)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB ELDER 60 OR OVER, ARMED ",265,18(a)
120,1241,"Assault to rob elder 60 or over, armed, subsq. off.  Ch. 265 S 18(a)",Other Assaults,7.0,Person,5,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB ELDER 60 OR OVER, ARMED, SUBSQ. OFF. ",265,18(a)
121,1242,"Assault to rob elder 60 or over, armed, with firearm  Ch. 265 S 18(a)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB ELDER 60 OR OVER, ARMED, WITH FIREARM ",265,18(a)
122,1633,"Assault to rob elder 60 or over, armed, with firearm, subsq.  Ch. 265 S 18(a)",Other Assaults,2.0,Person,6,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB ELDER 60 OR OVER, ARMED, WITH FIREARM, SUBSQ. ",265,18(a)
123,1246,"Assault to rob, armed  Ch. 265 S 18(b)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB, ARMED ",265,18(b)
124,1247,"Assault to rob, armed, with firearm  Ch. 265 S 18(b)",Other Assaults,12.0,Person,4,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB, ARMED, WITH FIREARM ",265,18(b)
125,1260,"Assault to rob, unarmed  Ch. 265 S 20",Other Assaults,18.0,Person,3,Felony,,,,,,No,Ch 265 Felony,,"ASSAULT TO ROB, UNARMED ",265,20
126,42,Assault w/dangerous weapon w/i to murder,Other Assaults,7.0,Person,5,Felony,,,,,,No,Armed w dangerous weapon,,ASSAULT W/DANGEROUS WEAPON W/I TO MURDER,,
127,59,Assault w/intent to murder,Other Assaults,12.0,Person,4,Felony,,,,,,No,Death or serious injury,,ASSAULT W/INTENT TO MURDER,,
128,47,Assault w/intent to rape,Other Assaults,12.0,Person,4,Felony,,,,,,No,178C Sex Offense,,ASSAULT W/INTENT TO RAPE,,
129,50,Assault w/intent to rape child under 14,Other Assaults,7.0,Person,5,Felony,,,,,,No,178C Sex Offense,,ASSAULT W/INTENT TO RAPE CHILD UNDER 14,,
130,41,Assault w/intent to rob while armed,Other Assaults,12.0,Person,4,Felony,,,,,,No,Armed w dangerous weapon,,ASSAULT W/INTENT TO ROB WHILE ARMED,,
131,1625,"Assault weapon, sell/possess  Ch. 140 S 131M",Other Assaults,13.0,Weapons,4,Felony,,,,,,No,S 121-131Q of Ch 140,,"ASSAULT WEAPON, SELL/POSSESS ",140,131M
132,1626,"Assault weapon, sell/possess, subsq.  Ch. 140 S 131M",Other Assaults,13.0,Weapons,4,Felony,,,,,,No,S 121-131Q of Ch 140,,"ASSAULT WEAPON, SELL/POSSESS, SUBSQ. ",140,131M
133,38,Assault with dangerous weapon,Other Assaults,24.0,Person,2,Felony,,,,,,No,Armed w dangerous weapon,,ASSAULT WITH DANGEROUS WEAPON,,
134,1230,Assault with dangerous weapon  Ch. 265 S 15B(b),Other Assaults,24.0,Person,2,Felony,,,,,,No,Ch 265 Felony,,ASSAULT WITH DANGEROUS WEAPON ,265,15B(b)
135,1228,Assault with dangerous weapon on elder 60 or over  Ch. 265 S 15B(a),Other Assaults,24.0,Person,2,Felony,,,,,,No,Ch 265 Felony,,ASSAULT WITH DANGEROUS WEAPON ON ELDER 60 OR OVER ,265,15B(a)
