"","X","Charge","NW.Counts","SF.Counts","Description","Chapter","Section","Expungeable.","sex","murder"
"16",1057,"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE c6 §178F or §178F½",1,3,"SEX OFFENDER INFO, HOMELESS SHELTER FAIL PROVIDE","6","178F or §178F½","",1,0
"17",1084,"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT c. 7 s. 11",0,1,"A&F INQUIRY, DISTURB, OR WITNESS FAIL TESTIFY AT","7","11","",0,0
"18",1,"LOTTERY TICKET, UTTER OR PASS FALSE c10 §30",4,0,"LOTTERY TICKET, UTTER OR PASS FALSE","10","30","Yes",0,0
"19",21,"CIVIL RIGHTS ORDER VIOLATION c12 §11J",0,1,"CIVIL RIGHTS ORDER VIOLATION","12","11J","Yes",0,0
"20",150,"SYNTHETIC CANNABINOID, POSSESSION OR SALE OF c16 §59.3",0,1,"SYNTHETIC CANNABINOID, POSSESSION OR SALE OF","16","59.3","Yes",0,0
"21",173,"PUBLIC ASSISTANCE FRAUD c18 §5B",3,60,"PUBLIC ASSISTANCE FRAUD","18","5B","Yes",0,0
"22",174,"PUBLIC ASSISTANCE FRAUD c. 18 s. 5B",0,5,"PUBLIC ASSISTANCE FRAUD","18","5B","Yes",0,0
"23",177,"ELDER ABUSE, FAIL REPORT c19A §15(a)",0,1,"ELDER ABUSE, FAIL REPORT","19A","15(a)","Yes",0,0
"24",187,"WATERS, POLLUTE COMMONWEALTH c21 §42",2,0,"WATERS, POLLUTE COMMONWEALTH","21","42","Yes",0,0
"25",191,"DNA DATABASE SAMPLE, REFUSE PROVIDE c22E §11",169,515,"DNA DATABASE SAMPLE, REFUSE PROVIDE","22E","11","Yes",0,0
"26",192,"DNA SAMPLE, REFUSE TO PROVIDE c. 22E s. 11",0,10,"DNA SAMPLE, REFUSE TO PROVIDE","22E","11","Yes",0,0
"27",1008,"DAY CARE, UNLICENSED c28A §11(a)",0,2,"DAY CARE, UNLICENSED","28A","11(a)","",0,0
"28",1036,"MUNICIPAL BY-LAW OR ORDINANCE VIOLATION c40 §21",38,951,"MUNICIPAL BY-LAW OR ORDINANCE VIOLATION","40","21","",0,0
"29",1039,"IDENTIFY SELF, REFUSE c40 §21D(c)",2,18,"IDENTIFY SELF, REFUSE","40","21D(c)","",0,0
"30",1038,"SEWER BY-LAW VIOLATION c40 §21(6)",0,2,"SEWER BY-LAW VIOLATION","40","21(6)","",0,0
"31",1037,"EXCAVATION BY-LAW VIOLATION c40 §21(19)",0,1,"EXCAVATION BY-LAW VIOLATION","40","21(19)","",0,0
"32",1040,"DEATH CERTIFICATE, FILE FALSE c46 §14",0,4,"DEATH CERTIFICATE, FILE FALSE","46","14","",0,0
"33",1041,"FIRE IN OPEN, SET c48 §13",3,0,"FIRE IN OPEN, SET","48","13","Yes",0,0
"34",1054,"NOMINATION PAPER/PETITION, FALSE c56 §11",0,16,"NOMINATION PAPER/PETITION, FALSE","56","11","",0,0
"35",1055,"VOTE UNLAWFULLY, ATTEMPT TO c56 §26",0,1,"VOTE UNLAWFULLY, ATTEMPT TO","56","26","",0,0
"36",1072,"TAX, ATTEMPT TO EVADE c62C §73(a)",1,1,"TAX, ATTEMPT TO EVADE","62C","73(a)","",0,0
"37",1073,"TAX, FAIL COLLECT OR PAY OVER c62C §73(b)",0,80,"TAX, FAIL COLLECT OR PAY OVER","62C","73(b)","",0,0
"38",1074,"TAX RETURN, FAIL FILE c62C §73(c)",0,13,"TAX RETURN, FAIL FILE","62C","73(c)","",0,0
"39",1075,"TAX, EVADE c62C §73(c)",0,1,"TAX, EVADE","62C","73(c)","",0,0
"40",1079,"SALES TAX CERTIFICATE, FALSE c62C §73(i)",0,3,"SALES TAX CERTIFICATE, FALSE","62C","73(i)","",0,0
"41",1076,"TAX RETURN, FALSE VERIFIED c62C §73(f)(1)",0,11,"TAX RETURN, FALSE VERIFIED","62C","73(f)(1)","",0,0
"42",1077,"TAX RETURN, AID FALSE c62C §73(f)(2)",0,2,"TAX RETURN, AID FALSE","62C","73(f)(2)","",0,0
"43",1078,"TAX DOCUMENT, FALSE SIGNATURE ON c62C §73(f)(3)",0,1,"TAX DOCUMENT, FALSE SIGNATURE ON","62C","73(f)(3)","",0,0
"44",1083,"DRUG DEALER FAIL PAY TAX c64K §9",0,1,"DRUG DEALER FAIL PAY TAX","64K","9","",0,0
"45",1081,"CIGARETTES, SELL -12000 UNSTAMPED c64C §34",0,1,"CIGARETTES, SELL -12000 UNSTAMPED","64C","34","",0,0
"46",1082,"CIGARETTES, POSSESS -12000 UNSTAMPED c64C §35",1,1,"CIGARETTES, POSSESS -12000 UNSTAMPED","64C","35","",0,0
"47",1080,"CIGARETTES, SELL WITHOUT LICENSE c64C §10 & §2",0,2,"CIGARETTES, SELL WITHOUT LICENSE","64C","10 & §2","",0,0
"48",1105,"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION c. 73 App. s. 1-2",0,1,"MASSACHUSETTS STATE COLLEGE BUILDING AUTHORITY, FINANCIAL INTEREST VIOLATION","73","1-2","",0,0
"49",1186,"SCHOOL, FAIL SEND CHILD TO c76 §2",17,0,"SCHOOL, FAIL SEND CHILD TO","76","2","",0,0
"50",1187,"BICYCLE PATH, DRIVE HORSE/ANIMAL ON c82 §36",0,1,"BICYCLE PATH, DRIVE HORSE/ANIMAL ON","82","36","",0,0
"51",1199,"STATE HWAY¿CLOSED TO TRAVEL, MV WHERE * c85 §2E",0,9,"STATE HWAY¿CLOSED TO TRAVEL, MV WHERE *","85","2E","",0,0
"52",1202,"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING c85 §5",0,1,"SNOW/ICE, VIOL MUNIC BY-LAW ON REMOVING","85","5","",0,0
"53",1188,"MUNICIPAL BY-LAW VIOLATION c85 §10",1,9,"MUNICIPAL BY-LAW VIOLATION","85","10","",0,0
"54",1189,"MOTOR VEH BY-LAW VIOLATION * c85 §10",0,1,"MOTOR VEH BY-LAW VIOLATION *","85","10","",0,0
"55",1190,"BICYCLE VIOLATION c85 §11B",1,15,"BICYCLE VIOLATION","85","11B","",0,0
"56",1191,"BICYCLE VIOLATOR REFUSE IDENTIFY SELF c85 §11C",0,2,"BICYCLE VIOLATOR REFUSE IDENTIFY SELF","85","11C","",0,0
"57",1192,"FLARES VIOLATION BY COMMERCIAL VEHICLE * c85 §14B",0,1,"FLARES VIOLATION BY COMMERCIAL VEHICLE *","85","14B","",0,0
"58",1193,"LIGHTS VIOLATION * c85 §15",13,31,"LIGHTS VIOLATION *","85","15","",0,0
"59",1194,"LIGHTS VIOLATION BY NON-MOTOR VEHICLE c85 §15",0,1,"LIGHTS VIOLATION BY NON-MOTOR VEHICLE","85","15","",0,0
"60",1195,"NAME/ADDRESS, REFUSE GIVE AT NIGHT c85 §16",1,0,"NAME/ADDRESS, REFUSE GIVE AT NIGHT","85","16","",0,0
"61",1196,"NAME/ADDRESS, MV OP REFUSE GIVE AT NT * c85 §16",0,2,"NAME/ADDRESS, MV OP REFUSE GIVE AT NT *","85","16","",0,0
"62",1197,"SOLICIT FROM PERSONS IN MOTOR VEHICLES c85 §17A",13,31,"SOLICIT FROM PERSONS IN MOTOR VEHICLES","85","17A","",0,0
"63",1198,"SPEEDING ON COUNTY BRIDGE VIOL BY-LAW * c85 §20",0,1,"SPEEDING ON COUNTY BRIDGE VIOL BY-LAW *","85","20","",0,0
"64",1200,"WEIGHT VIOLATION ON BRIDGE * c85 §34",3,0,"WEIGHT VIOLATION ON BRIDGE *","85","34","",0,0
"65",1201,"LOAD UNSECURED/UNCOVERED * c85 §36",5,15,"LOAD UNSECURED/UNCOVERED *","85","36","",0,0
"66",1203,"TREE/SHRUB, WANTONLY INJURE PUBLIC c87 §12",0,1,"TREE/SHRUB, WANTONLY INJURE PUBLIC","87","12","",0,0
"67",1204,"KEEP RIGHT FOR ONCOMING MV, FAIL TO * c89 §1",21,46,"KEEP RIGHT FOR ONCOMING MV, FAIL TO *","89","1","",0,0
"68",1206,"PASSING VIOLATION * c89 §2",31,106,"PASSING VIOLATION *","89","2","",0,0
"69",1207,"KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL * c89 §4",14,11,"KEEP RIGHT ON HILL/OBSTRUCTED VIEW, FL *","89","4","",0,0
"70",1208,"FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND c. 89 s. 4",0,2,"FAILURE TO OBEY PAVEMENT MARKINGS/LINES, OPERATING AND","89","4","",0,0
"71",1209,"MARKED LANES VIOLATION * c89 §4A",2191,2926,"MARKED LANES VIOLATION *","89","4A","",0,0
"72",1210,"RIGHT LANE, FAIL DRIVE IN * c89 §4B",134,40,"RIGHT LANE, FAIL DRIVE IN *","89","4B","",0,0
"73",1211,"BREAKDOWN LANE VIOLATION * c89 §4B",15,19,"BREAKDOWN LANE VIOLATION *","89","4B","",0,0
"74",1212,"LEFT LANE RESTRICTION VIOLATION * c89 §4C",20,11,"LEFT LANE RESTRICTION VIOLATION *","89","4C","",0,0
"75",1213,"STREETCAR FAIL STOP FOR FIRE APPARATUS c89 §6A",1,0,"STREETCAR FAIL STOP FOR FIRE APPARATUS","89","6A","",0,0
"76",1214,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT c89 §7",12,40,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT","89","7","",0,0
"77",1215,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D c89 §7",7,25,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 3D","89","7","",0,0
"78",1216,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D c89 §7",0,1,"EMERGENCY VEHICLE, WILFULLY OBSTRUCT, 2D","89","7","",0,0
"79",1217,"EMERGENCY VEHICLE, OBSTRUCT * c89 §7A",13,77,"EMERGENCY VEHICLE, OBSTRUCT *","89","7A","",0,0
"80",1218,"YIELD AT INTERSECTION, FAIL * c89 §8",84,248,"YIELD AT INTERSECTION, FAIL *","89","8","",0,0
"81",1219,"STOP/YIELD, FAIL TO * c89 §9",590,2878,"STOP/YIELD, FAIL TO *","89","9","",0,0
"82",1205,"CROSSWALK VIOLATION * c89 §11",55,338,"CROSSWALK VIOLATION *","89","11","",0,0
"83",1220,"DEFECTIVE EQUIPMENT, OPERATING WITH c. 90 s. 1",0,3,"DEFECTIVE EQUIPMENT, OPERATING WITH","90","1","",0,0
"84",1259,"MOPED VIOLATION * c90 §1B",15,137,"MOPED VIOLATION *","90","1B","Yes",0,0
"85",1260,"MOPED OPERATION BY UNLIC -17 c90 §1B",0,14,"MOPED OPERATION BY UNLIC -17","90","1B","Yes",0,0
"86",1261,"MOPED OPERATION BY UNLIC -17, 2ND OFF. c90 §1B",0,1,"MOPED OPERATION BY UNLIC -17, 2ND OFF.","90","1B","Yes",0,0
"87",1262,"MOTORIZED SCOOTER VIOLATION c90 s1E",15,0,"MOTORIZED SCOOTER VIOLATION","90","1E","Yes",0,0
"88",1263,"HANDICAP PARKING PLATE MISUSE * c90 §2",2,7,"HANDICAP PARKING PLATE MISUSE *","90","2","Yes",0,0
"89",1264,"NUMBER PLATE, MISUSE OFFICIAL * c90 §2",1,9,"NUMBER PLATE, MISUSE OFFICIAL *","90","2","Yes",0,0
"90",1265,"EMISSIONS, REGISTER MV WITH IMPROPER c90 §2",1,7,"EMISSIONS, REGISTER MV WITH IMPROPER","90","2","Yes",0,0
"91",1266,"EMISSIONS, ATT REGISTER MV WITH IMPROPER c90 §2",0,1,"EMISSIONS, ATT REGISTER MV WITH IMPROPER","90","2","Yes",0,0
"92",1365,"REGISTRATION LEFT IN TRANSFERRED MV * c90 §2B",0,1,"REGISTRATION LEFT IN TRANSFERRED MV *","90","2B","Yes",0,0
"93",1418,"MBOAT ID NO., OPERATE WITHOUT c90B §2",2,3,"MBOAT ID NO., OPERATE WITHOUT","90B","2","Yes",0,0
"94",1366,"REGISTER MV OPERATED +30 DAYS YEAR, FL * c90 §3",7,8,"REGISTER MV OPERATED +30 DAYS YEAR, FL *","90","3","Yes",0,0
"95",1438,"MBOAT ID NO., FAIL DISPLAY c90B §3(a)",2,0,"MBOAT ID NO., FAIL DISPLAY","90B","3(a)","Yes",0,0
"96",1439,"MBOAT ID NO. CERTIF, FAIL POSSESS c90B §3(a)",0,1,"MBOAT ID NO. CERTIF, FAIL POSSESS","90B","3(a)","Yes",0,0
"97",1440,"MBOAT ID NO., DISPLAY WRONG c90B §3(j)",2,0,"MBOAT ID NO., DISPLAY WRONG","90B","3(j)","Yes",0,0
"98",1457,"TITLE, FAIL APPLY FOR MV c90D §4(a)",5,0,"TITLE, FAIL APPLY FOR MV","90D","4(a)","Yes",0,0
"99",1376,"NUMBER PLATE, FALSE APPLIC FOR DEALER c90 §5(g)",0,1,"NUMBER PLATE, FALSE APPLIC FOR DEALER","90","5(g)","Yes",0,0
"100",1377,"MILITARY MV, USE WITHOUT AUTHORITY c90 §5A",1,0,"MILITARY MV, USE WITHOUT AUTHORITY","90","5A","Yes",0,0
"101",1443,"MBOAT EQUIPMENT VIOLATION c90B §5",2,1,"MBOAT EQUIPMENT VIOLATION","90B","5","Yes",0,0
"102",1444,"BOAT LIFE SAVING DEVICE, NO c90B §5A",6,2,"BOAT LIFE SAVING DEVICE, NO","90B","5A","Yes",0,0
"103",1378,"NUMBER PLATE VIOLATION * c90 §6",390,668,"NUMBER PLATE VIOLATION *","90","6","Yes",0,0
"104",1379,"NUMBER PLATE, FAIL RETURN REPOSSESSED MV c90 §6C",1,5,"NUMBER PLATE, FAIL RETURN REPOSSESSED MV","90","6C","Yes",0,0
"105",1380,"LIGHTS VIOLATION, MV * c90 §7",866,1144,"LIGHTS VIOLATION, MV *","90","7","Yes",0,0
"106",1381,"EQUIPMENT VIOLATION, MISCELLANEOUS MV * c90 §7",430,506,"EQUIPMENT VIOLATION, MISCELLANEOUS MV *","90","7","Yes",0,0
"107",1382,"BRAKES VIOLATION, MV * c90 §7",14,158,"BRAKES VIOLATION, MV *","90","7","Yes",0,0
"108",1383,"MOTORCYCLE EQUIPMENT VIOLATION * c90 §7",8,82,"MOTORCYCLE EQUIPMENT VIOLATION *","90","7","Yes",0,0
"109",1384,"MOTORCYCLE PASSENGER VIOLATION * c90 §7",1,2,"MOTORCYCLE PASSENGER VIOLATION *","90","7","Yes",0,0
"110",1385,"HORN VIOLATION, MV * c90 §7",0,1,"HORN VIOLATION, MV *","90","7","Yes",0,0
"111",1387,"CHILD UNDER 5 WITHOUT CARSEAT * c90 §7AA",13,89,"CHILD UNDER 5 WITHOUT CARSEAT *","90","7AA","Yes",0,0
"112",1388,"CHILD 5-12 WITHOUT SEAT BELT * c90 §7AA",7,53,"CHILD 5-12 WITHOUT SEAT BELT *","90","7AA","Yes",0,0
"113",1389,"SCHOOL BUS OPERATION/EQUIPMENT VIOL * c90 §7B",0,6,"SCHOOL BUS OPERATION/EQUIPMENT VIOL *","90","7B","Yes",0,0
"114",1390,"SCHOOL BUS, OVERCROWDED c90 §7B",0,3,"SCHOOL BUS, OVERCROWDED","90","7B","Yes",0,0
"115",1392,"SPECIAL NEEDS STUDENTS VEH FL ID OWNER * c90 §7CC",0,1,"SPECIAL NEEDS STUDENTS VEH FL ID OWNER *","90","7CC","Yes",0,0
"116",1393,"PUPIL TRANSPORT VEHICLE, OVERCROWDED c90 §7D",0,1,"PUPIL TRANSPORT VEHICLE, OVERCROWDED","90","7D","Yes",0,0
"117",1394,"PUPIL TRANSPORT VEHICLE VIOLATION * c90 §7D",0,1,"PUPIL TRANSPORT VEHICLE VIOLATION *","90","7D","Yes",0,0
"118",1395,"RED/BLUE LIGHT VIOLATION, MV * c90 §7E",2,5,"RED/BLUE LIGHT VIOLATION, MV *","90","7E","Yes",0,0
"119",1396,"HEIGHT, MODIFY MV c90 §7P",2,8,"HEIGHT, MODIFY MV","90","7P","Yes",0,0
"120",1397,"HEIGHT, OPERATE MV WITH MODIFIED * c90 §7P",1,10,"HEIGHT, OPERATE MV WITH MODIFIED *","90","7P","Yes",0,0
"121",1398,"HEIGHT, MODIFY MV, 2ND OFFENSE c90 §7P",0,1,"HEIGHT, MODIFY MV, 2ND OFFENSE","90","7P","Yes",0,0
"122",1399,"TIRE TREAD DEPTH VIOLATION * c90 §7Q",23,3,"TIRE TREAD DEPTH VIOLATION *","90","7Q","Yes",0,0
"123",1400,"VEHICLE ID NUMBER NOT DISPLAYED * c90 §7R",2,1,"VEHICLE ID NUMBER NOT DISPLAYED *","90","7R","Yes",0,0
"124",1401,"INSPECTION, UNLICENSED MV c90 §7W",2,0,"INSPECTION, UNLICENSED MV","90","7W","Yes",0,0
"125",1402,"JUNIOR OPERATOR WITH PASSENGER UNDER 18 * c90 §8",8,0,"JUNIOR OPERATOR WITH PASSENGER UNDER 18 *","90","8","Yes",0,0
"126",1403,"MILITARY STATUS CHANGE, FAIL REPORT, 2ND c90 §8",0,2,"MILITARY STATUS CHANGE, FAIL REPORT, 2ND","90","8","Yes",0,0
"127",1405,"PUPILS, TRANSPORT WITHOUT LICENSE * c90 §8A½",0,2,"PUPILS, TRANSPORT WITHOUT LICENSE *","90","8A½","Yes",0,0
"128",1406,"LEARNERS PERMIT VIOLATION * c90 §8B",2,25,"LEARNERS PERMIT VIOLATION *","90","8B","Yes",0,0
"129",1407,"RMV ID CARD FRAUD c90 §8H",0,5,"RMV ID CARD FRAUD","90","8H","Yes",0,0
"130",1408,"RMV ID CARD ADDRESS CHANGE c90 §8J",2,0,"RMV ID CARD ADDRESS CHANGE","90","8J","Yes",0,0
"131",1445,"BOAT OUILIQUOR c90B §8(a)",2,0,"BOAT OUILIQUOR","90B","8(a)","",0,0
"132",1446,"BOAT OUI¿LIQUOR c90B §8(a)",0,12,"BOAT OUI¿LIQUOR","90B","8(a)","Yes",0,0
"133",1447,"BOAT OUI¿DRUGS c90B §8(a)",0,2,"BOAT OUI¿DRUGS","90B","8(a)","Yes",0,0
"134",1448,"WATER SKIS/SURFBOARD, NEGLIGENT USE OF c90B §8(b)",0,4,"WATER SKIS/SURFBOARD, NEGLIGENT USE OF","90B","8(b)","Yes",0,0
"135",1409,"UNREGISTERED MOTOR VEHICLE * c90 §9",1496,3649,"UNREGISTERED MOTOR VEHICLE *","90","9","Yes",0,0
"136",1410,"NUMBER PLATE MISSING * c90 §9",10,57,"NUMBER PLATE MISSING *","90","9","Yes",0,0
"137",1411,"SAFETY GLASS VIOLATION * c90 §9A",2,17,"SAFETY GLASS VIOLATION *","90","9A","Yes",0,0
"138",1412,"WINDOW OBSTRUCTED/NONTRANSPARENT * c90 §9D",36,394,"WINDOW OBSTRUCTED/NONTRANSPARENT *","90","9D","Yes",0,0
"139",1451,"MBOAT ACCIDENT, FAIL REPORT c90B §9(B)",1,0,"MBOAT ACCIDENT, FAIL REPORT","90B","9(B)","Yes",0,0
"140",1221,"UNLICENSED OPERATION OF MV c90 §10",3179,12148,"UNLICENSED OPERATION OF MV","90","10","Yes",0,0
"141",1222,"LICENSE RESTRICTION, OPERATE MV IN VIOL c90 §10",40,89,"LICENSE RESTRICTION, OPERATE MV IN VIOL","90","10","Yes",0,0
"142",1223,"LICENSE CLASS, OPERATE MV IN VIOLATION c90 §10",28,231,"LICENSE CLASS, OPERATE MV IN VIOLATION","90","10","Yes",0,0
"143",1224,"LICENSE RESTRICTION, OPERATING MOTOR VEHICLE IN VIOLATION c. 90 s. 10",0,5,"LICENSE RESTRICTION, OPERATING MOTOR VEHICLE IN VIOLATION","90","10","Yes",0,0
"144",1225,"UNLICENSED OPERATION OF MOTOR VEHICLE c. 90 s. 10a",0,22,"UNLICENSED OPERATION OF MOTOR VEHICLE","90","10a","",0,0
"145",1452,"CITATION, ATTEMPT TO FALSIFY c. 90C s. 10",0,1,"CITATION, ATTEMPT TO FALSIFY","90C","10","Yes",0,0
"146",1226,"LICENSE NOT IN POSSESSION * c90 §11",332,535,"LICENSE NOT IN POSSESSION *","90","11","",0,0
"147",1227,"REGISTRATION NOT IN POSSESSION * c90 §11",204,256,"REGISTRATION NOT IN POSSESSION *","90","11","",0,0
"148",1228,"IMPROPER OPERATION OF MV, ALLOW * c90 §12",11,1551,"IMPROPER OPERATION OF MV, ALLOW *","90","12","",0,0
"149",1229,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT c90 §12",0,277,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT","90","12","",0,0
"150",1230,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF c90 §12",0,4,"UNLICENSED/SUSPENDED OPERATION OF MV, PERMIT, SUBSQ. OFF","90","12","",0,0
"151",1231,"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT c90 §12(c)",1,0,"IGNITION INTERLOCK, PERMIT OPERATION WITHOUT","90","12(c)","",0,0
"152",1417,"MBOAT REFUSE STOP/ID FOR OFFICER c90B §12",0,1,"MBOAT REFUSE STOP/ID FOR OFFICER","90B","12","Yes",0,0
"153",1232,"UNSAFE OPERATION OF MV * c90 §13",72,210,"UNSAFE OPERATION OF MV *","90","13","Yes",0,0
"154",1233,"MOBILE PHONE, OPERATOR USE IMPROPERLY c90 §13",2,0,"MOBILE PHONE, OPERATOR USE IMPROPERLY","90","13","Yes",0,0
"155",1234,"HANG ONTO MV c90 §13",1,2,"HANG ONTO MV","90","13","Yes",0,0
"156",1235,"MOBILE PHONE, OPERATOR USE IMPOPERLY c90 §13",0,28,"MOBILE PHONE, OPERATOR USE IMPOPERLY","90","13","Yes",0,0
"157",1236,"RIDE IN BACK OF TRAILER/SEMI c90 §13",0,2,"RIDE IN BACK OF TRAILER/SEMI","90","13","Yes",0,0
"158",1237,"HANG ONTO MV, 2ND OFFENSE c90 §13",0,2,"HANG ONTO MV, 2ND OFFENSE","90","13","Yes",0,0
"159",1238,"RIDE IN BACK OF TRAILER/SEMI, 3RD OFF. c90 §13",0,1,"RIDE IN BACK OF TRAILER/SEMI, 3RD OFF.","90","13","Yes",0,0
"160",1239,"SEAT BELT, FAIL WEAR * c90 §13A",251,720,"SEAT BELT, FAIL WEAR *","90","13A","Yes",0,0
"161",1240,"TURN, IMPROPER * c90 §14",28,357,"TURN, IMPROPER *","90","14","Yes",0,0
"162",1241,"SLOW, FAIL TO * c90 §14",9,71,"SLOW, FAIL TO *","90","14","Yes",0,0
"163",1242,"SCHOOL BUS, FAIL STOP FOR * c90 §14",0,36,"SCHOOL BUS, FAIL STOP FOR *","90","14","Yes",0,0
"164",1243,"BLIND PEDESTRIAN, FAIL STOP FOR * c90 §14A",0,1,"BLIND PEDESTRIAN, FAIL STOP FOR *","90","14A","Yes",0,0
"165",1244,"SIGNAL, FAIL TO * c90 §14B",70,488,"SIGNAL, FAIL TO *","90","14B","Yes",0,0
"166",1245,"RAILROAD CROSSING VIOLATION * c90 §15",5,1,"RAILROAD CROSSING VIOLATION *","90","15","Yes",0,0
"167",1246,"OPERATION OF MOTOR VEHICLE, IMPROPER * c90 §16",114,397,"OPERATION OF MOTOR VEHICLE, IMPROPER *","90","16","Yes",0,0
"168",1247,"IDLE ENGINE OF STOPPED MV OVER 5 MINUTES * c90 §16A",1,14,"IDLE ENGINE OF STOPPED MV OVER 5 MINUTES *","90","16A","Yes",0,0
"169",1248,"SPEEDING * c90 §17",1884,2496,"SPEEDING *","90","17","Yes",0,0
"170",1249,"SPEEDING RATE GREATER THAN WAS REASONABLE AND PROPER c90 §17",9,0,"SPEEDING RATE GREATER THAN WAS REASONABLE AND PROPER","90","17","Yes",0,0
"171",1250,"SPEEDING WHILE OVERWEIGHT VIOL PERMIT * c90 §17",0,5,"SPEEDING WHILE OVERWEIGHT VIOL PERMIT *","90","17","Yes",0,0
"172",1251,"RACING MOTOR VEHICLE * c90 §17B",5,133,"RACING MOTOR VEHICLE *","90","17B","Yes",0,0
"173",1252,"RACING MOTOR VEHICLE, SUBSQ.OFF. * c90 §17B",0,1,"RACING MOTOR VEHICLE, SUBSQ.OFF. *","90","17B","Yes",0,0
"174",1253,"SPEEDING IN VIOL SPECIAL REGULATION * c90 §18",405,193,"SPEEDING IN VIOL SPECIAL REGULATION *","90","18","Yes",0,0
"175",1254,"MOTOR VEH IN AREA CLOSED TO TRAVEL * c90 §18",1,24,"MOTOR VEH IN AREA CLOSED TO TRAVEL *","90","18","Yes",0,0
"176",1255,"PEDESTRIAN VIOLATION c90 §18A",1,10,"PEDESTRIAN VIOLATION","90","18A","Yes",0,0
